period,seniority_3level,n,mean_pairwise_cosine,median_pairwise_cosine
2024,junior,373,0.3975382447242737,0.4032666087150574
2024,mid,39,0.3610973358154297,0.3628171682357788
2024,senior,2000,0.4067591428756714,0.4104421138763428
2024,unknown,2000,0.36139950156211853,0.3640308678150177
2026,junior,601,0.41484513878822327,0.41663819551467896
2026,mid,51,0.4498940110206604,0.45110782980918884
2026,senior,2000,0.4340236485004425,0.4352237582206726
2026,unknown,2000,0.4010258913040161,0.40161433815956116
