bucket,count,share
0d,0,0.0
1d,397,1.0
2-3d,0,0.0
4-7d,0,0.0
8-14d,0,0.0
15-30d,0,0.0
31-90d,0,0.0
91-365d,0,0.0
>365d,0,0.0
