date,n,ai_strict_prev,scope_prev,length_median,length_mean,tech_count_median,tech_count_mean,j3_yoe_llm_le2,s4_yoe_llm_ge5,entry_seniority_final,entry_seniority_native,j3_yoe_extracted_le2,n_yoe_llm_labeled,n_yoe_rule
2024-04-05,150,0.02666666666666667,0.42,2460.5,2950.0466666666666,3.0,3.6933333333333334,0.08737864077669903,0.6796116504854369,0.02,0.09333333333333334,0.0975609756097561,103,82
2024-04-06,204,0.014705882352941176,0.37745098039215685,3374.5,3722.774509803922,3.0,4.0931372549019605,0.10810810810810811,0.6554054054054054,0.07352941176470588,0.24019607843137256,0.12403100775193798,148,129
2024-04-09,343,0.023323615160349854,0.5160349854227405,2924.0,3285.9737609329445,3.0,3.9941690962099123,0.14410480349344978,0.6462882096069869,0.03206997084548105,0.18658892128279883,0.1711229946524064,229,187
2024-04-11,334,0.020958083832335328,0.4221556886227545,2430.5,2854.131736526946,3.0,4.038922155688622,0.11952191235059761,0.6613545816733067,0.023952095808383235,0.0748502994011976,0.15151515151515152,251,198
2024-04-12,194,0.015463917525773196,0.4175257731958763,3993.5,4076.917525773196,4.0,4.11340206185567,0.19736842105263158,0.618421052631579,0.04639175257731959,0.30927835051546393,0.22137404580152673,152,131
2024-04-15,303,0.0,0.3432343234323432,2472.0,2829.112211221122,3.0,3.891089108910891,0.13122171945701358,0.6244343891402715,0.026402640264026403,0.14521452145214522,0.1358695652173913,221,184
2024-04-16,215,0.0,0.413953488372093,2225.0,2594.5162790697673,3.0,4.283720930232558,0.09868421052631579,0.7302631578947368,0.023255813953488372,0.04186046511627907,0.10743801652892562,152,121
2024-04-17,347,0.023054755043227664,0.5504322766570605,4049.0,4028.363112391931,3.0,3.861671469740634,0.12452830188679245,0.6754716981132075,0.04610951008645533,0.17002881844380405,0.17094017094017094,265,234
2024-04-18,1399,0.020729092208720514,0.4381701215153681,3098.0,3372.905646890636,4.0,4.195854181558256,0.1241446725317693,0.6520039100684262,0.035025017869907075,0.1701215153681201,0.15034168564920272,1023,878
2024-04-19,1177,0.022090059473237042,0.45029736618521665,2874.0,3226.067969413764,3.0,3.9048428207306713,0.13916947250280584,0.6352413019079686,0.044180118946474084,0.1469838572642311,0.14533333333333334,891,750
