scrape_date,n_swe
2026-03-20,2448
2026-03-21,1164
2026-03-22,944
2026-03-23,612
2026-03-24,2154
2026-03-25,2308
2026-03-26,2244
2026-03-27,2192
2026-03-28,1959
2026-03-29,821
2026-03-30,781
2026-03-31,2113
2026-04-01,2464
2026-04-02,1448
2026-04-03,2137
2026-04-04,1981
2026-04-05,888
2026-04-06,474
2026-04-07,1617
2026-04-08,2073
2026-04-09,2180
2026-04-10,2059
2026-04-11,1448
2026-04-12,410
2026-04-13,310
2026-04-14,1597
2026-04-15,1723
2026-04-17,1581
2026-04-18,1187
