source,is_aggregator,seniority_final_source,n
kaggle_arshkon,False,llm,4257
kaggle_arshkon,False,title_keyword,1
kaggle_arshkon,False,unknown,3
kaggle_arshkon,True,llm,430
kaggle_asaniczka,False,llm,15181
kaggle_asaniczka,False,title_keyword,1
kaggle_asaniczka,False,unknown,4
kaggle_asaniczka,True,llm,2943
scraped,False,llm,21401
scraped,False,title_keyword,7227
scraped,False,title_manager,1
scraped,False,unknown,8980
scraped,True,llm,4415
scraped,True,title_keyword,947
scraped,True,unknown,2346
