seniority_native,seniority_final,n
associate,associate,23
associate,director,2
associate,entry,63
associate,mid-senior,377
associate,unknown,1117
director,director,48
director,entry,1
director,mid-senior,204
director,unknown,59
entry,associate,35
entry,director,5
entry,entry,668
entry,mid-senior,256
entry,unknown,4283
executive,director,17
executive,mid-senior,15
executive,unknown,46
intern,entry,617
intern,mid-senior,2
intern,unknown,61
mid-senior,associate,42
mid-senior,director,166
mid-senior,entry,126
mid-senior,mid-senior,15641
mid-senior,unknown,14785
