source,seniority_native,n_native,final_matches_native_n,final_matches_native_share
kaggle_arshkon,associate,263,4,0.015209125475285171
kaggle_arshkon,director,20,5,0.25
kaggle_arshkon,entry,738,53,0.07181571815718157
kaggle_arshkon,executive,11,0,0.0
kaggle_arshkon,intern,20,0,0.0
kaggle_arshkon,mid-senior,2231,1369,0.6136261766024205
kaggle_arshkon,unknown,0,0,
scraped,associate,1582,23,0.014538558786346398
scraped,director,312,48,0.15384615384615385
scraped,entry,5247,668,0.12731084429197637
scraped,executive,78,0,0.0
scraped,intern,680,0,0.0
scraped,mid-senior,30760,15641,0.5084850455136541
scraped,unknown,0,0,
