seniority_native,seniority_final,n
associate,associate,4
associate,entry,21
associate,mid-senior,54
associate,unknown,184
director,director,5
director,mid-senior,10
director,unknown,5
entry,associate,2
entry,entry,53
entry,mid-senior,65
entry,unknown,618
executive,director,1
executive,mid-senior,6
executive,unknown,4
intern,entry,20
mid-senior,associate,3
mid-senior,director,7
mid-senior,entry,23
mid-senior,mid-senior,1369
mid-senior,unknown,829
