source,period,seniority_final_source,n
kaggle_arshkon,2024-04,llm,4687
kaggle_arshkon,2024-04,title_keyword,1
kaggle_arshkon,2024-04,unknown,3
kaggle_asaniczka,2024-01,llm,18124
kaggle_asaniczka,2024-01,title_keyword,1
kaggle_asaniczka,2024-01,unknown,4
scraped,2026-03,llm,11808
scraped,2026-03,title_keyword,3329
scraped,2026-03,unknown,4603
scraped,2026-04,llm,14008
scraped,2026-04,title_keyword,4845
scraped,2026-04,title_manager,1
scraped,2026-04,unknown,6723
