source,seniority_final_source,n
kaggle_arshkon,llm,4687
kaggle_arshkon,title_keyword,1
kaggle_arshkon,unknown,3
kaggle_asaniczka,llm,18124
kaggle_asaniczka,title_keyword,1
kaggle_asaniczka,unknown,4
scraped,llm,25816
scraped,title_keyword,8174
scraped,title_manager,1
scraped,unknown,11326
