source,seniority_patched,yoe_extracted,n
kaggle_arshkon,associate,1.0,6
kaggle_arshkon,associate,2.0,14
kaggle_arshkon,associate,3.0,20
kaggle_arshkon,associate,4.0,4
kaggle_arshkon,associate,5.0,11
kaggle_arshkon,associate,6.0,4
kaggle_arshkon,associate,8.0,1
kaggle_arshkon,associate,10.0,1
kaggle_arshkon,director,5.0,3
kaggle_arshkon,director,9.0,1
kaggle_arshkon,director,10.0,1
kaggle_arshkon,director,15.0,1
kaggle_arshkon,entry,1.0,41
kaggle_arshkon,entry,2.0,52
kaggle_arshkon,entry,3.0,55
kaggle_arshkon,entry,4.0,13
kaggle_arshkon,entry,5.0,56
kaggle_arshkon,entry,6.0,7
kaggle_arshkon,entry,7.0,9
kaggle_arshkon,entry,8.0,13
kaggle_arshkon,entry,9.0,1
kaggle_arshkon,entry,10.0,5
kaggle_arshkon,entry,12.0,1
kaggle_arshkon,entry,16.0,1
kaggle_arshkon,mid-senior,1.0,147
kaggle_arshkon,mid-senior,2.0,125
kaggle_arshkon,mid-senior,3.0,177
kaggle_arshkon,mid-senior,4.0,80
kaggle_arshkon,mid-senior,5.0,286
kaggle_arshkon,mid-senior,6.0,69
kaggle_arshkon,mid-senior,7.0,71
kaggle_arshkon,mid-senior,8.0,88
kaggle_arshkon,mid-senior,9.0,11
kaggle_arshkon,mid-senior,10.0,72
kaggle_arshkon,mid-senior,12.0,15
kaggle_arshkon,mid-senior,13.0,3
kaggle_arshkon,mid-senior,14.0,2
kaggle_arshkon,mid-senior,15.0,7
kaggle_arshkon,mid-senior,17.0,1
kaggle_arshkon,mid-senior,20.0,1
scraped,associate,1.0,3
scraped,associate,2.0,4
scraped,associate,3.0,3
scraped,associate,5.0,1
scraped,associate,8.0,2
scraped,director,4.0,1
scraped,director,10.0,1
scraped,entry,1.0,31
scraped,entry,2.0,27
scraped,entry,3.0,6
scraped,entry,4.0,2
scraped,entry,5.0,3
scraped,entry,6.0,3
scraped,mid-senior,1.0,71
scraped,mid-senior,2.0,93
scraped,mid-senior,3.0,99
scraped,mid-senior,4.0,68
scraped,mid-senior,5.0,110
scraped,mid-senior,6.0,22
scraped,mid-senior,7.0,25
scraped,mid-senior,8.0,55
scraped,mid-senior,9.0,1
scraped,mid-senior,10.0,13
scraped,mid-senior,11.0,1
scraped,mid-senior,12.0,6
scraped,mid-senior,15.0,3
scraped,mid-senior,18.0,1
