source,n_total,n_with_yoe,pct_with_yoe,mean_yoe,median_yoe,p25_yoe,p75_yoe,pct_0yoe,pct_3plus,pct_5plus,mw_p
arshkon_2024,745,254,34.09395973154362,3.6929133858267718,3.0,2.0,5.0,0.0,63.38582677165354,36.61417322834646,1.4616841678750703e-10
scraped_2026,549,72,13.114754098360656,2.0,2.0,1.0,2.0,0.0,19.444444444444446,8.333333333333332,1.4616841678750703e-10
