level,n_2024,n_2026,jsd
overall,4438,4219,0.037627935578549106
entry,745,549,0.05853939696028793
mid-senior,2584,3262,0.03873995280976508
within-2024 ref (arshkon vs asaniczka mid-senior),2584,3000,0.038372369528789294
