spec,source_group,denominator,hybrid_any_n,hybrid_any_share,ai_general_share,ai_general_n,ml_share,ml_n,data_share,data_n,llm_share,llm_n,agent_share,agent_n
all_rows,arshkon,4691,598,0.12747814964826262,0.017693455553186955,83,0.027073118738008953,127,0.08782775527606054,412,0.0006395224898742272,3,0.0006395224898742272,3
all_rows,asaniczka,18129,1603,0.08842186551933366,0.010314964973247282,187,0.016989354073583762,308,0.06431684042142424,1166,0.0006619228859837829,12,0.00016548072149594572,3
all_rows,pooled_2024,22820,2201,0.09645048203330411,0.011831726555652936,270,0.01906222611744084,435,0.0691498685363716,1578,0.0006573181419807187,15,0.00026292725679228745,6
all_rows,scraped_2026,40881,9675,0.2366625082556689,0.10484087962623223,4286,0.059196203615371444,2420,0.10210122061593405,4174,0.0033511900393825983,137,0.010787407353049094,441
no_aggregators,arshkon,4261,556,0.1304858014550575,0.01854024876789486,79,0.027458343111945553,117,0.0896503168270359,382,0.0007040600797934757,3,0.0007040600797934757,3
no_aggregators,asaniczka,15186,1296,0.08534176214934808,0.009021467140787567,137,0.01619913077834848,246,0.06321612011062822,960,0.0007902015013828526,12,0.00019755037534571315,3
no_aggregators,pooled_2024,19447,1852,0.09523319792255874,0.011107111636756312,216,0.01866611816732658,363,0.0690080732246619,1342,0.0007713271969969661,15,0.00030853087879878646,6
no_aggregators,scraped_2026,34081,7930,0.23268096593409818,0.10325401249963323,3519,0.062351456823450016,2125,0.09650538423168334,3289,0.002963528065491036,101,0.01076846336668525,367
