source_group,source,period,year,rows,aggregators,unique_titles
arshkon,kaggle_arshkon,2024-04,2024,4691,430,2385
asaniczka,kaggle_asaniczka,2024-01,2024,18129,2943,8335
scraped_2026,scraped,2026-03,2026,19777,3316,10554
scraped_2026,scraped,2026-04,2026,21104,3484,10944
