spec,source_group,marker,n,denominator,share
all_rows,arshkon,senior,1272,4691,0.27115753570667234
all_rows,arshkon,staff,118,4691,0.025154551268386272
all_rows,arshkon,principal,130,4691,0.02771264122788318
all_rows,arshkon,lead,285,4691,0.06075463653805159
all_rows,arshkon,architect,82,4691,0.017480281389895543
all_rows,arshkon,director_manager,44,4691,0.009379663184822
all_rows,arshkon,junior_entry,96,4691,0.02046471967597527
all_rows,arshkon,associate,33,4691,0.007034747388616499
all_rows,asaniczka,senior,8246,18129,0.45485134315185616
all_rows,asaniczka,staff,503,18129,0.027745600970820232
all_rows,asaniczka,principal,1065,18129,0.05874565613106073
all_rows,asaniczka,lead,1837,18129,0.10132936179601743
all_rows,asaniczka,architect,364,18129,0.02007832754150808
all_rows,asaniczka,director_manager,292,18129,0.016106790225605384
all_rows,asaniczka,junior_entry,121,18129,0.006674389100336477
all_rows,asaniczka,associate,76,18129,0.0041921782778972915
all_rows,pooled_2024,senior,9518,22820,0.4170902716914987
all_rows,pooled_2024,staff,621,22820,0.027212971078001753
all_rows,pooled_2024,principal,1195,22820,0.05236634531113059
all_rows,pooled_2024,lead,2122,22820,0.092988606485539
all_rows,pooled_2024,architect,446,22820,0.019544259421560035
all_rows,pooled_2024,director_manager,336,22820,0.014723926380368098
all_rows,pooled_2024,junior_entry,217,22820,0.00950920245398773
all_rows,pooled_2024,associate,109,22820,0.0047765118317265555
all_rows,scraped_2026,senior,11836,40881,0.28952325040972576
all_rows,scraped_2026,staff,2362,40881,0.0577774516278956
all_rows,scraped_2026,principal,1495,40881,0.03656955553924806
all_rows,scraped_2026,lead,2484,40881,0.06076172304982755
all_rows,scraped_2026,architect,150,40881,0.0036691861745064944
all_rows,scraped_2026,director_manager,478,40881,0.01169247327609403
all_rows,scraped_2026,junior_entry,1030,40881,0.025195078398277927
all_rows,scraped_2026,associate,307,40881,0.007509601037156625
no_aggregators,arshkon,senior,1179,4261,0.27669561135883597
no_aggregators,arshkon,staff,112,4261,0.026284909645623092
no_aggregators,arshkon,principal,124,4261,0.029101149964796996
no_aggregators,arshkon,lead,271,4261,0.0636000938746773
no_aggregators,arshkon,architect,76,4261,0.017836188688101384
no_aggregators,arshkon,director_manager,40,4261,0.009387467730579677
no_aggregators,arshkon,junior_entry,89,4261,0.02088711570053978
no_aggregators,arshkon,associate,33,4261,0.0077446608777282325
no_aggregators,asaniczka,senior,6718,15186,0.442381140524167
no_aggregators,asaniczka,staff,446,15186,0.029369155801396023
no_aggregators,asaniczka,principal,843,15186,0.0555116554721454
no_aggregators,asaniczka,lead,1199,15186,0.07895430001317003
no_aggregators,asaniczka,architect,309,15186,0.020347688660608456
no_aggregators,asaniczka,director_manager,217,15186,0.014289477150006585
no_aggregators,asaniczka,junior_entry,108,15186,0.007111813512445673
no_aggregators,asaniczka,associate,68,15186,0.004477808507836165
no_aggregators,pooled_2024,senior,7897,19447,0.40607805831233607
no_aggregators,pooled_2024,staff,558,19447,0.028693371728287138
no_aggregators,pooled_2024,principal,967,19447,0.04972489329973775
no_aggregators,pooled_2024,lead,1470,19447,0.07559006530570268
no_aggregators,pooled_2024,architect,385,19447,0.019797398056255463
no_aggregators,pooled_2024,director_manager,257,19447,0.013215405975214686
no_aggregators,pooled_2024,junior_entry,197,19447,0.010130097187226822
no_aggregators,pooled_2024,associate,101,19447,0.005193603126446239
no_aggregators,scraped_2026,senior,10334,34081,0.30321880226519177
no_aggregators,scraped_2026,staff,2258,34081,0.06625392447404713
no_aggregators,scraped_2026,principal,1375,34081,0.04034506029752648
no_aggregators,scraped_2026,lead,2119,34081,0.062175405651242625
no_aggregators,scraped_2026,architect,117,34081,0.0034329978580440717
no_aggregators,scraped_2026,director_manager,442,34081,0.012969103019277603
no_aggregators,scraped_2026,junior_entry,894,34081,0.026231624658900853
no_aggregators,scraped_2026,associate,272,34081,0.007980986473401602
