title_key,title_display,arshkon_labeled_text_n,scraped_2026_labeled_text_n,sampled_arshkon_n,sampled_scraped_2026_n,tfidf_centroid_cosine
embedded software engineer,Embedded Software Engineer,29,53,29,53,0.5949777996633914
java developer,Java Developer,38,35,38,35,0.5980588933389135
site reliability engineer,Site Reliability Engineer,29,49,29,49,0.6182170566530089
cloud engineer,Cloud Engineer,30,50,30,50,0.6613739687359986
full stack engineer,Full Stack Engineer,58,92,58,92,0.6725370701982726
senior data engineer,Senior Data Engineer,42,106,42,106,0.7093370244268418
devops engineer,DevOps Engineer,58,114,58,114,0.7117205878503283
data engineer,Data Engineer,85,191,85,191,0.7828557692244676
senior software engineer,Senior Software Engineer,163,369,163,300,0.7878572565999201
software engineer,Software Engineer,149,406,149,300,0.7911777209593995
