period,share_all,n,variant
2024,0.010656776677151307,21301,aggregator_excluded
2026,0.010886935677187376,30036,aggregator_excluded
2024,0.01204344645168552,17769,company_capped_20
2026,0.009857662720530656,21709,company_capped_20
