source,n,desc_len_mean,desc_len_median,core_len_mean,yoe_mean,agg_share
kaggle_arshkon,2181,3822.943603851444,3673.0,3133.4085281980742,5.984646194926569,0.07473635946813388
kaggle_asaniczka,5526,4495.201049583786,4596.5,2800.980275063337,6.050046339202965,0.35251538183134273
