period,n_all,n_with_yoe,n_le2,n_le3,share_le2_of_all,share_le2_of_yoe,share_le3_of_yoe
2024,28232,19795.0,2047.0,4751.0,0.07250637574383678,0.10340995200808285,0.24001010356150543
2026,35062,24209.0,4022.0,8140.0,0.1147110832240032,0.16613656078317982,0.336238588954521
