period,source,level,n,variant
2024-01,kaggle_asaniczka,associate,69,seniority_best_available
2024-01,kaggle_asaniczka,director,48,seniority_best_available
2024-01,kaggle_asaniczka,entry,64,seniority_best_available
2024-01,kaggle_asaniczka,mid-senior,5526,seniority_best_available
2024-01,kaggle_asaniczka,unknown,17506,seniority_best_available
2024-04,kaggle_arshkon,associate,15,seniority_best_available
2024-04,kaggle_arshkon,director,13,seniority_best_available
2024-04,kaggle_arshkon,entry,177,seniority_best_available
2024-04,kaggle_arshkon,mid-senior,2181,seniority_best_available
2024-04,kaggle_arshkon,unknown,2633,seniority_best_available
2026-03,scraped,associate,16,seniority_best_available
2026-03,scraped,director,85,seniority_best_available
2026-03,scraped,entry,314,seniority_best_available
2026-03,scraped,mid-senior,2399,seniority_best_available
2026-03,scraped,unknown,21240,seniority_best_available
2026-04,scraped,associate,14,seniority_best_available
2026-04,scraped,director,43,seniority_best_available
2026-04,scraped,entry,76,seniority_best_available
2026-04,scraped,mid-senior,1240,seniority_best_available
2026-04,scraped,unknown,9635,seniority_best_available
2024-01,kaggle_asaniczka,associate,2014,seniority_native
2024-01,kaggle_asaniczka,mid-senior,21199,seniority_native
2024-04,kaggle_arshkon,associate,275,seniority_native
2024-04,kaggle_arshkon,director,25,seniority_native
2024-04,kaggle_arshkon,entry,769,seniority_native
2024-04,kaggle_arshkon,executive,11,seniority_native
2024-04,kaggle_arshkon,intern,20,seniority_native
2024-04,kaggle_arshkon,mid-senior,2344,seniority_native
2024-04,kaggle_arshkon,unknown,1575,seniority_native
2026-03,scraped,associate,795,seniority_native
2026-03,scraped,director,241,seniority_native
2026-03,scraped,entry,2785,seniority_native
2026-03,scraped,executive,37,seniority_native
2026-03,scraped,intern,429,seniority_native
2026-03,scraped,mid-senior,15574,seniority_native
2026-03,scraped,unknown,4193,seniority_native
2026-04,scraped,associate,361,seniority_native
2026-04,scraped,director,207,seniority_native
2026-04,scraped,entry,1187,seniority_native
2026-04,scraped,executive,7,seniority_native
2026-04,scraped,intern,156,seniority_native
2026-04,scraped,mid-senior,7298,seniority_native
2026-04,scraped,unknown,1792,seniority_native
2024-01,kaggle_asaniczka,associate,1451,seniority_final
2024-01,kaggle_asaniczka,director,91,seniority_final
2024-01,kaggle_asaniczka,entry,129,seniority_final
2024-01,kaggle_asaniczka,mid-senior,21542,seniority_final
2024-04,kaggle_arshkon,associate,241,seniority_final
2024-04,kaggle_arshkon,director,22,seniority_final
2024-04,kaggle_arshkon,entry,848,seniority_final
2024-04,kaggle_arshkon,mid-senior,2924,seniority_final
2024-04,kaggle_arshkon,unknown,984,seniority_final
2026-03,scraped,associate,688,seniority_final
2026-03,scraped,director,221,seniority_final
2026-03,scraped,entry,3306,seniority_final
2026-03,scraped,mid-senior,18240,seniority_final
2026-03,scraped,unknown,1599,seniority_final
2026-04,scraped,associate,308,seniority_final
2026-04,scraped,director,130,seniority_final
2026-04,scraped,entry,1350,seniority_final
2026-04,scraped,mid-senior,8565,seniority_final
2026-04,scraped,unknown,655,seniority_final
2024-01,kaggle_asaniczka,associate,403,seniority_imputed
2024-01,kaggle_asaniczka,director,91,seniority_imputed
2024-01,kaggle_asaniczka,entry,218,seniority_imputed
2024-01,kaggle_asaniczka,mid-senior,15439,seniority_imputed
2024-01,kaggle_asaniczka,unknown,7062,seniority_imputed
2024-04,kaggle_arshkon,associate,142,seniority_imputed
2024-04,kaggle_arshkon,director,12,seniority_imputed
2024-04,kaggle_arshkon,entry,151,seniority_imputed
2024-04,kaggle_arshkon,mid-senior,1933,seniority_imputed
2024-04,kaggle_arshkon,unknown,2781,seniority_imputed
2026-03,scraped,associate,996,seniority_imputed
2026-03,scraped,director,173,seniority_imputed
2026-03,scraped,entry,953,seniority_imputed
2026-03,scraped,mid-senior,11055,seniority_imputed
2026-03,scraped,unknown,10877,seniority_imputed
2026-04,scraped,associate,436,seniority_imputed
2026-04,scraped,director,117,seniority_imputed
2026-04,scraped,entry,335,seniority_imputed
2026-04,scraped,mid-senior,5272,seniority_imputed
2026-04,scraped,unknown,4848,seniority_imputed
2024-01,kaggle_asaniczka,junior,129,seniority_3level
2024-01,kaggle_asaniczka,mid,1451,seniority_3level
2024-01,kaggle_asaniczka,senior,21633,seniority_3level
2024-04,kaggle_arshkon,junior,848,seniority_3level
2024-04,kaggle_arshkon,mid,241,seniority_3level
2024-04,kaggle_arshkon,senior,2946,seniority_3level
2024-04,kaggle_arshkon,unknown,984,seniority_3level
2026-03,scraped,junior,3306,seniority_3level
2026-03,scraped,mid,688,seniority_3level
2026-03,scraped,senior,18461,seniority_3level
2026-03,scraped,unknown,1599,seniority_3level
2026-04,scraped,junior,1350,seniority_3level
2026-04,scraped,mid,308,seniority_3level
2026-04,scraped,senior,8695,seniority_3level
2026-04,scraped,unknown,655,seniority_3level
