source,period,level,n,yoe_mean,yoe_median,share_yoe_le2,share_yoe_ge5,n_with_yoe
kaggle_arshkon,2024-04,associate,275,3.8516129032258064,3.0,0.16727272727272727,0.17454545454545456,155.0
kaggle_arshkon,2024-04,director,25,7.7894736842105265,8.0,0.04,0.68,19.0
kaggle_arshkon,2024-04,entry,769,4.12421052631579,3.0,0.18335500650195058,0.25487646293888166,475.0
kaggle_arshkon,2024-04,executive,11,8.0,6.5,0.0,0.6363636363636364,8.0
kaggle_arshkon,2024-04,intern,20,2.0,2.0,0.05,0.0,1.0
kaggle_arshkon,2024-04,mid-senior,2344,5.561146496815287,5.0,0.05460750853242321,0.4522184300341297,1570.0
kaggle_asaniczka,2024-01,associate,2014,4.53165522501907,4.0,0.13753723932472692,0.3103277060575968,1311.0
kaggle_asaniczka,2024-01,mid-senior,21199,5.6744366744366745,5.0,0.06198405585169112,0.4787489975942261,15444.0
scraped,2026-03,associate,795,4.2575488454706925,3.0,0.19119496855345913,0.2641509433962264,563.0
scraped,2026-03,director,241,7.8307692307692305,8.0,0.016597510373443983,0.7302904564315352,195.0
scraped,2026-03,entry,2785,2.285981308411215,2.0,0.311310592459605,0.0355475763016158,1070.0
scraped,2026-03,executive,37,6.826086956521739,6.0,0.05405405405405406,0.3783783783783784,23.0
scraped,2026-03,intern,429,1.8235294117647058,1.0,0.03496503496503497,0.004662004662004662,17.0
scraped,2026-03,mid-senior,15574,5.36520737327189,5.0,0.06549377167073327,0.4644921022216515,11284.0
scraped,2026-04,associate,361,4.420833333333333,4.0,0.10526315789473684,0.25761772853185594,240.0
scraped,2026-04,director,207,7.4010989010989015,8.0,0.0,0.7439613526570048,182.0
scraped,2026-04,entry,1187,2.41701244813278,2.0,0.3125526537489469,0.040438079191238416,482.0
scraped,2026-04,executive,7,5.0,5.0,0.14285714285714285,0.42857142857142855,5.0
scraped,2026-04,intern,156,1.1111111111111112,1.0,0.057692307692307696,0.0,9.0
scraped,2026-04,mid-senior,7298,5.337805105272964,5.0,0.06864894491641546,0.46656618251575777,5367.0
