period,source,n,aggregator_share
2024-01,kaggle_asaniczka,23213,0.2731228191099815
2024-04,kaggle_arshkon,5019,0.1177525403466826
2026-03,scraped,24054,0.146129541864139
2026-04,scraped,11008,0.13726380813953487
