period,n,mean,median,sd,p10,p25,p75,p90,min,max,coverage,variable
2024-01,23213,4052.197044759402,3825.0,2077.0062951164496,1410.0,2495.0,5552.0,6746.0,81.0,18817.0,1.0,description_length
2024-04,5019,3315.796373779637,2954.0,2152.8153258930874,855.8,1512.0,4780.0,6333.2,68.0,15768.0,1.0,description_length
2026-03,24054,5202.504074166459,5158.0,2385.8319970734965,2034.6000000000004,3492.0,6780.0,8290.0,102.0,23658.0,1.0,description_length
2026-04,11008,5197.704487645349,5223.0,2304.346861762925,2072.7,3567.0,6665.5,8111.0,110.0,23161.0,1.0,description_length
2024-01,23213,2696.1245853616506,2419.0,1767.4327332235,697.0,1325.0,3629.0,5114.0,15.0,17400.0,1.0,core_length
2024-04,5019,2738.4604502889024,2504.0,1709.0729103853423,739.0,1329.0,3804.5,5072.0,38.0,14401.0,1.0,core_length
2026-03,24054,4313.183961087553,4170.5,2004.5817046727047,1864.0,2863.0,5526.0,6984.700000000001,102.0,20360.0,1.0,core_length
2026-04,11008,4297.857285610465,4211.5,1932.9308660605363,1832.0,2947.75,5519.0,6813.300000000001,100.0,22237.0,1.0,core_length
2024-01,23213,5.585019397194867,5.0,2.941367671461909,3.0,4.0,7.0,10.0,1.0,20.0,0.7217938224270882,yoe_extracted
2024-04,5019,5.19671052631579,5.0,2.7310245812388954,2.0,3.0,7.0,9.0,1.0,20.0,0.6056983462841203,yoe_extracted
2026-03,24054,4.963378402958831,5.0,2.665363854531429,2.0,3.0,6.0,8.0,1.0,20.0,0.6856655857653613,yoe_extracted
2026-04,11008,5.048081907724209,5.0,2.686206373453491,2.0,3.0,6.0,8.0,1.0,20.0,0.7009447674418605,yoe_extracted
2024-01,23213,0.9878703848325427,1.0,0.03301062072441334,0.9000000000000001,1.0,1.0,1.0,0.8504617214202881,1.0,1.0,swe_confidence
2024-04,5019,0.9889313766362099,1.0,0.03205186035351717,0.9000000000000001,1.0,1.0,1.0,0.8504616022109985,1.0,1.0,swe_confidence
2026-03,24054,0.9941468762500966,1.0,0.02386919875296484,1.0,1.0,1.0,1.0,0.850314199924469,1.0,1.0,swe_confidence
2026-04,11008,0.9936861320821079,1.0,0.024984393173504184,1.0,1.0,1.0,1.0,0.8507817983627319,1.0,1.0,swe_confidence
2024-01,23213,0.9125123853013405,0.95,0.04841013501535753,0.8499999999999999,0.85,0.95,0.95,0.85,0.95,1.0,seniority_final_confidence
2024-04,5019,0.7205086229433425,0.85,0.359145887420772,0.0,0.85,0.95,0.95,0.0,1.0,1.0,seniority_final_confidence
2026-03,24054,0.8382273013354122,0.85,0.22931275227304893,0.8499999999999999,0.85,0.95,0.95,0.0,1.0,1.0,seniority_final_confidence
2026-04,11008,0.8458000019212765,0.85,0.21851903770259737,0.8499999999999999,0.85,0.95,0.95,0.0,1.0,1.0,seniority_final_confidence
