period,swe_classification_tier,n
2024-01,embedding_high,395
2024-01,regex,20411
2024-01,title_lookup_llm,2407
2024-04,embedding_high,77
2024-04,regex,4477
2024-04,title_lookup_llm,465
2026-03,embedding_high,322
2026-03,regex,22659
2026-03,title_lookup_llm,1073
2026-04,embedding_high,162
2026-04,regex,10332
2026-04,title_lookup_llm,514
