definition,side,share_of_all,cross_period_effect,direction
J1,junior,0.031188082483305204,0.014579844095925713,up
J2,junior,0.03246006702380079,0.01414280146727143,up
J3,junior,0.11599520559673197,0.038606949680868696,up
J4,junior,0.2276607715075463,0.05084219131473297,up
J5,junior,0.025195078398277927,0.015685875944290197,up
J6,junior,0.032973753088231694,0.016234051072456058,up
S1,senior,0.43328196472689023,-0.16246737795496774,down
S2,senior,0.007216066143196106,0.002614839149331075,up
S3,senior,0.42291039847361855,-0.14417987321788017,down
S4,senior,0.3898632616618967,-0.06057495043275707,down
S5,senior,0.12171913602896212,-0.04348682365552517,down
