aggregator_treatment,scope,definition,side,n_match,n_all,n_known,share_of_all,share_of_known
all,arshkon,J1,junior,175,4691,2267,0.03730547857599659,0.07719453021614468
all,arshkon,J2,junior,190,4691,2267,0.04050309102536773,0.08381120423467137
all,arshkon,J3,junior,436,4691,2911,0.09294393519505435,0.14977670903469598
all,arshkon,J4,junior,907,4691,2911,0.19334896610530802,0.3115767777396084
all,arshkon,J5,junior,96,4691,4691,0.02046471967597527,0.02046471967597527
all,arshkon,J6,junior,175,4691,2267,0.03730547857599659,0.07719453021614468
all,arshkon,S1,senior,2077,4691,2267,0.44276273715625664,0.9161887957653286
all,arshkon,S2,senior,13,4691,2267,0.002771264122788318,0.005734450816056462
all,arshkon,S3,senior,1804,4691,4691,0.38456619057770197,0.38456619057770197
all,arshkon,S4,senior,1751,4691,2911,0.3732679599232573,0.6015115080728272
all,arshkon,S5,senior,596,4691,2911,0.1270518013216798,0.20474063895568534
all,asaniczka,J1,junior,204,18129,11746,0.01125268906172431,0.017367614507066236
all,asaniczka,J2,junior,228,18129,11746,0.012576534833691875,0.01941086327260344
all,asaniczka,J3,junior,1330,18129,12834,0.0733631198632026,0.10363098020882032
all,asaniczka,J4,junior,3128,18129,12834,0.17254123227977275,0.24372759856630824
all,asaniczka,J5,junior,121,18129,18129,0.006674389100336477,0.006674389100336477
all,asaniczka,J6,junior,207,18129,11746,0.011418169783220255,0.017623020602758385
all,asaniczka,S1,senior,11518,18129,11746,0.6353356500634343,0.9805891367273966
all,asaniczka,S2,senior,92,18129,11746,0.0050747421258756685,0.007832453601225949
all,asaniczka,S3,senior,11137,18129,18129,0.6143195984334492,0.6143195984334492
all,asaniczka,S4,senior,8528,18129,12834,0.47040653097247503,0.6644849618201651
all,asaniczka,S5,senior,3174,18129,12834,0.17507860334271058,0.24731182795698925
all,pooled_2024,J1,junior,379,22820,14013,0.01660823838737949,0.027046314136872904
all,pooled_2024,J2,junior,418,22820,14013,0.01831726555652936,0.02982944408763291
all,pooled_2024,J3,junior,1766,22820,15745,0.07738825591586328,0.11216259129882503
all,pooled_2024,J4,junior,4035,22820,15745,0.17681858019281332,0.2562718323277231
all,pooled_2024,J5,junior,217,22820,22820,0.00950920245398773,0.00950920245398773
all,pooled_2024,J6,junior,382,22820,14013,0.016739702015775636,0.027260401056162134
all,pooled_2024,S1,senior,13595,22820,14013,0.595749342681858,0.9701705559123671
all,pooled_2024,S2,senior,105,22820,14013,0.004601226993865031,0.0074930421751231
all,pooled_2024,S3,senior,12941,22820,22820,0.5670902716914987,0.5670902716914987
all,pooled_2024,S4,senior,10279,22820,15745,0.4504382120946538,0.6528421721181328
all,pooled_2024,S5,senior,3770,22820,15745,0.16520595968448729,0.239441092410289
all,scraped_2026,J1,junior,1275,40881,19040,0.031188082483305204,0.06696428571428571
all,scraped_2026,J2,junior,1327,40881,19040,0.03246006702380079,0.0696953781512605
all,scraped_2026,J3,junior,4742,40881,27581,0.11599520559673197,0.17192995177839818
all,scraped_2026,J4,junior,9307,40881,27581,0.2276607715075463,0.33744244226097675
all,scraped_2026,J5,junior,1030,40881,40881,0.025195078398277927,0.025195078398277927
all,scraped_2026,J6,junior,1348,40881,19040,0.032973753088231694,0.07079831932773109
all,scraped_2026,S1,senior,17713,40881,19040,0.43328196472689023,0.9303046218487395
all,scraped_2026,S2,senior,295,40881,19040,0.007216066143196106,0.015493697478991597
all,scraped_2026,S3,senior,17289,40881,40881,0.42291039847361855,0.42291039847361855
all,scraped_2026,S4,senior,15938,40881,27581,0.3898632616618967,0.5778615713715964
all,scraped_2026,S5,senior,4976,40881,27581,0.12171913602896212,0.18041405315253253
no_aggregator,arshkon,J1,junior,164,4261,2094,0.03848861769537667,0.07831900668576887
no_aggregator,arshkon,J2,junior,178,4261,2094,0.04177423140107956,0.08500477554918816
no_aggregator,arshkon,J3,junior,414,4261,2667,0.09716029101149964,0.15523059617547807
no_aggregator,arshkon,J4,junior,847,4261,2667,0.19877962919502465,0.31758530183727035
no_aggregator,arshkon,J5,junior,89,4261,4261,0.02088711570053978,0.02088711570053978
no_aggregator,arshkon,J6,junior,164,4261,2094,0.03848861769537667,0.07831900668576887
no_aggregator,arshkon,S1,senior,1916,4261,2094,0.4496597042947665,0.9149952244508118
no_aggregator,arshkon,S2,senior,12,4261,2094,0.002816240319173903,0.0057306590257879654
no_aggregator,arshkon,S3,senior,1683,4261,4261,0.39497770476413985,0.39497770476413985
no_aggregator,arshkon,S4,senior,1583,4261,2667,0.3715090354376907,0.5935508061492314
no_aggregator,arshkon,S5,senior,537,4261,2667,0.12602675428303214,0.2013498312710911
no_aggregator,asaniczka,J1,junior,188,15186,9453,0.01237982352166469,0.019887866285835186
no_aggregator,asaniczka,J2,junior,212,15186,9453,0.013960226524430396,0.02242674283296308
no_aggregator,asaniczka,J3,junior,1194,15186,10854,0.07862504938759383,0.11000552791597568
no_aggregator,asaniczka,J4,junior,2760,15186,10854,0.1817463453180561,0.2542841348811498
no_aggregator,asaniczka,J5,junior,108,15186,15186,0.007111813512445673,0.007111813512445673
no_aggregator,asaniczka,J6,junior,190,15186,9453,0.012511523771895166,0.020099439331429176
no_aggregator,asaniczka,S1,senior,9241,15186,9453,0.6085210061899118,0.9775732571670369
no_aggregator,asaniczka,S2,senior,64,15186,9453,0.004214408007375214,0.006770337459007722
no_aggregator,asaniczka,S3,senior,8906,15186,15186,0.5864612142763072,0.5864612142763072
no_aggregator,asaniczka,S4,senior,7237,15186,10854,0.4765573554589754,0.6667587985995946
no_aggregator,asaniczka,S5,senior,2652,15186,10854,0.17463453180561042,0.2443338861249309
no_aggregator,pooled_2024,J1,junior,352,19447,11547,0.018100478222862138,0.03048410842643111
no_aggregator,pooled_2024,J2,junior,390,19447,11547,0.020054507121921118,0.033775006495193556
no_aggregator,pooled_2024,J3,junior,1608,19447,13521,0.08268627551807477,0.11892611493232749
no_aggregator,pooled_2024,J4,junior,3607,19447,13521,0.18547847997120379,0.26677020930404555
no_aggregator,pooled_2024,J5,junior,197,19447,19447,0.010130097187226822,0.010130097187226822
no_aggregator,pooled_2024,J6,junior,354,19447,11547,0.0182033218491284,0.03065731358794492
no_aggregator,pooled_2024,S1,senior,11157,19447,11547,0.5737131691263434,0.9662249935048064
no_aggregator,pooled_2024,S2,senior,76,19447,11547,0.003908057798117962,0.006581796137524899
no_aggregator,pooled_2024,S3,senior,10589,19447,19447,0.5445055792667249,0.5445055792667249
no_aggregator,pooled_2024,S4,senior,8820,19447,13521,0.4535403918342161,0.6523186154870202
no_aggregator,pooled_2024,S5,senior,3189,19447,13521,0.163984162081555,0.23585533614377635
no_aggregator,scraped_2026,J1,junior,1083,34081,16713,0.03177723658343359,0.0647998563992102
no_aggregator,scraped_2026,J2,junior,1130,34081,16713,0.03315630409905813,0.0676120385328786
no_aggregator,scraped_2026,J3,junior,4232,34081,23713,0.12417476013027787,0.1784675072744908
no_aggregator,scraped_2026,J4,junior,8318,34081,23713,0.2440656084035093,0.35077805423185593
no_aggregator,scraped_2026,J5,junior,894,34081,34081,0.026231624658900853,0.026231624658900853
no_aggregator,scraped_2026,J6,junior,1155,34081,16713,0.03388985064992225,0.06910788009334051
no_aggregator,scraped_2026,S1,senior,15583,34081,16713,0.45723423608462194,0.9323879614671214
no_aggregator,scraped_2026,S2,senior,285,34081,16713,0.008362430679850943,0.01705259378926584
no_aggregator,scraped_2026,S3,senior,15251,34081,34081,0.44749273788914645,0.44749273788914645
no_aggregator,scraped_2026,S4,senior,13358,34081,23713,0.39194859305771546,0.5633196980559187
no_aggregator,scraped_2026,S5,senior,4123,34081,23713,0.12097649716851032,0.17387087251718467
