source,seniority_native,rank,title_normalized,n
kaggle_arshkon,entry,1,software engineer,52
kaggle_arshkon,entry,2,data engineer,24
kaggle_arshkon,entry,3,developer,23
kaggle_arshkon,entry,4,systems engineer,19
kaggle_arshkon,entry,5,java developer,18
kaggle_arshkon,entry,6,automation engineer,14
kaggle_arshkon,entry,7,software developer,12
kaggle_arshkon,entry,8,application engineer,10
kaggle_arshkon,entry,9,test engineer,10
kaggle_arshkon,entry,10,devops engineer,9
kaggle_arshkon,entry,11,software development engineer,8
kaggle_arshkon,entry,12,product engineer,8
kaggle_arshkon,entry,13,.net developer,8
kaggle_arshkon,entry,14,reliability engineer,7
kaggle_arshkon,entry,15,embedded software engineer,7
kaggle_arshkon,entry,16,cloud engineer,6
kaggle_arshkon,entry,17,quality assurance engineer,6
kaggle_arshkon,entry,18,full stack developer,6
kaggle_arshkon,entry,19,sales application engineer,6
kaggle_arshkon,entry,20,front end developer,5
kaggle_arshkon,entry,21,site reliability engineer,5
kaggle_arshkon,entry,22,devsecops engineer,4
kaggle_arshkon,entry,23,application developer,4
kaggle_arshkon,entry,24,infrastructure engineer,4
kaggle_arshkon,entry,25,react developer,3
kaggle_arshkon,entry,26,full stack java developer,3
kaggle_arshkon,entry,27,database engineer,3
kaggle_arshkon,entry,28,mainframe engineer,3
kaggle_arshkon,entry,29,web developer,3
kaggle_arshkon,entry,30,python developer,3
kaggle_arshkon,entry,31,java software engineer,3
kaggle_arshkon,entry,32,servicenow developer,3
kaggle_arshkon,entry,33,hp nonstop software engineer,3
kaggle_arshkon,entry,34,systems integration engineer,3
kaggle_arshkon,entry,35,salesforce developer,3
kaggle_arshkon,entry,36,inside sales application engineer,3
kaggle_arshkon,entry,37,system engineer,3
kaggle_arshkon,entry,38,react native developer,2
kaggle_arshkon,entry,39,"software engineer, full stack",2
kaggle_arshkon,entry,40,qa engineer,2
kaggle_arshkon,entry,41,associate systems engineer,2
kaggle_arshkon,entry,42,cybersecurity data engineer,2
kaggle_arshkon,entry,43,angular developer,2
kaggle_arshkon,entry,44,full stack software engineer,2
kaggle_arshkon,entry,45,full stack engineer,2
kaggle_arshkon,entry,46,data platform engineer,2
kaggle_arshkon,entry,47,it systems engineer,2
kaggle_arshkon,entry,48,cloud software engineer,2
kaggle_arshkon,entry,49,infrastructure engineer (network operations),2
kaggle_arshkon,entry,50,c++ developer,2
kaggle_arshkon,associate,1,software engineer,18
kaggle_arshkon,associate,2,system engineer,11
kaggle_arshkon,associate,3,data engineer,8
kaggle_arshkon,associate,4,test engineer,6
kaggle_arshkon,associate,5,full stack engineer,6
kaggle_arshkon,associate,6,application engineer,5
kaggle_arshkon,associate,7,automation engineer,4
kaggle_arshkon,associate,8,product engineer,4
kaggle_arshkon,associate,9,java developer,4
kaggle_arshkon,associate,10,reliability engineer,3
kaggle_arshkon,associate,11,site reliability engineer,3
kaggle_arshkon,associate,12,"software engineer, cash commerce",3
kaggle_arshkon,associate,13,embedded software engineer,3
kaggle_arshkon,associate,14,cloud engineer,3
kaggle_arshkon,associate,15,quality assurance engineer,2
kaggle_arshkon,associate,16,embedded engineer,2
kaggle_arshkon,associate,17,"software engineer (mobile), bitkey",2
kaggle_arshkon,associate,18,project developer,2
kaggle_arshkon,associate,19,software developer,2
kaggle_arshkon,associate,20,programmer analyst,2
kaggle_arshkon,associate,21,application developer,2
kaggle_arshkon,associate,22,associate systems engineer,2
kaggle_arshkon,associate,23,developer,2
kaggle_arshkon,associate,24,software solutions architect,2
kaggle_arshkon,associate,25,dotnet developer,2
kaggle_arshkon,associate,26,systems engineer,2
kaggle_arshkon,associate,27,java application developer,2
kaggle_arshkon,associate,28,volunteer: next.js developer (full stack),1
kaggle_arshkon,associate,29,cloud developer,1
kaggle_arshkon,associate,30,front end developer - government experience required,1
kaggle_arshkon,associate,31,devops developer,1
kaggle_arshkon,associate,32,associate systems engineer (remote),1
kaggle_arshkon,associate,33,software engineer (cloud native nms),1
kaggle_arshkon,associate,34,react developer,1
kaggle_arshkon,associate,35,"systems engineer, majors",1
kaggle_arshkon,associate,36,software developer - intermediate (us),1
kaggle_arshkon,associate,37,workday software developer,1
kaggle_arshkon,associate,38,. cloud engineer,1
kaggle_arshkon,associate,39,sales application engineer,1
kaggle_arshkon,associate,40,"data engineer, quality assurance",1
kaggle_arshkon,associate,41,automation testing developer,1
kaggle_arshkon,associate,42,software engineer (front end - ui focus),1
kaggle_arshkon,associate,43,ai cad application engineer,1
kaggle_arshkon,associate,44,engineer software,1
kaggle_arshkon,associate,45,"financial model software engineer, professional (hybrid - days in office)",1
kaggle_arshkon,associate,46,rust developer,1
kaggle_arshkon,associate,47,full stack developer,1
kaggle_arshkon,associate,48,"machine learning engineer, banking & square financial services",1
kaggle_arshkon,associate,49,software engineer in test (mobile) - nc,1
kaggle_arshkon,associate,50,software engineer- android team,1
kaggle_arshkon,mid-senior,1,software engineer,244
kaggle_arshkon,mid-senior,2,data engineer,82
kaggle_arshkon,mid-senior,3,devops engineer,53
kaggle_arshkon,mid-senior,4,full stack engineer,31
kaggle_arshkon,mid-senior,5,machine learning engineer,31
kaggle_arshkon,mid-senior,6,dotnet developer,30
kaggle_arshkon,mid-senior,7,salesforce developer,29
kaggle_arshkon,mid-senior,8,system engineer,27
kaggle_arshkon,mid-senior,9,systems engineer,27
kaggle_arshkon,mid-senior,10,site reliability engineer,27
kaggle_arshkon,mid-senior,11,java developer,24
kaggle_arshkon,mid-senior,12,embedded software engineer,21
kaggle_arshkon,mid-senior,13,software development engineer,20
kaggle_arshkon,mid-senior,14,cloud engineer,19
kaggle_arshkon,mid-senior,15,python developer,18
kaggle_arshkon,mid-senior,16,software developer,17
kaggle_arshkon,mid-senior,17,automation engineer,17
kaggle_arshkon,mid-senior,18,infrastructure engineer,17
kaggle_arshkon,mid-senior,19,frontend developer,14
kaggle_arshkon,mid-senior,20,java software engineer,13
kaggle_arshkon,mid-senior,21,application developer,12
kaggle_arshkon,mid-senior,22,software engineer in test,11
kaggle_arshkon,mid-senior,23,database developer,11
kaggle_arshkon,mid-senior,24,test engineer,11
kaggle_arshkon,mid-senior,25,servicenow developer,11
kaggle_arshkon,mid-senior,26,mainframe developer,10
kaggle_arshkon,mid-senior,27,full stack developer,10
kaggle_arshkon,mid-senior,28,azure cloud engineer,10
kaggle_arshkon,mid-senior,29,android developer,9
kaggle_arshkon,mid-senior,30,quality assurance engineer,9
kaggle_arshkon,mid-senior,31,firmware engineer,8
kaggle_arshkon,mid-senior,32,. data engineer,8
kaggle_arshkon,mid-senior,33,react developer,8
kaggle_arshkon,mid-senior,34,developer,8
kaggle_arshkon,mid-senior,35,azure devops engineer,8
kaggle_arshkon,mid-senior,36,azure data engineer,8
kaggle_arshkon,mid-senior,37,mlops engineer,7
kaggle_arshkon,mid-senior,38,. software engineer,7
kaggle_arshkon,mid-senior,39,back end developer,7
kaggle_arshkon,mid-senior,40,backend engineer,7
kaggle_arshkon,mid-senior,41,software engineering manager,7
kaggle_arshkon,mid-senior,42,software architect,6
kaggle_arshkon,mid-senior,43,web developer,6
kaggle_arshkon,mid-senior,44,artificial intelligence engineer,6
kaggle_arshkon,mid-senior,45,golang developer,6
kaggle_arshkon,mid-senior,46,java full stack developer,5
kaggle_arshkon,mid-senior,47,product engineer,5
kaggle_arshkon,mid-senior,48,.net developer,5
kaggle_arshkon,mid-senior,49,"software engineer, full stack",5
kaggle_arshkon,mid-senior,50,java architect,5
kaggle_asaniczka,associate,1,software engineer,105
kaggle_asaniczka,associate,2,application engineer,47
kaggle_asaniczka,associate,3,systems engineer,43
kaggle_asaniczka,associate,4,test engineer,39
kaggle_asaniczka,associate,5,automation engineer,32
kaggle_asaniczka,associate,6,data engineer,31
kaggle_asaniczka,associate,7,servicenow developer,29
kaggle_asaniczka,associate,8,quality assurance engineer,24
kaggle_asaniczka,associate,9,java developer,22
kaggle_asaniczka,associate,10,system engineer,22
kaggle_asaniczka,associate,11,product engineer,20
kaggle_asaniczka,associate,12,embedded software engineer,19
kaggle_asaniczka,associate,13,software developer,19
kaggle_asaniczka,associate,14,reliability engineer,18
kaggle_asaniczka,associate,15,devops engineer,18
kaggle_asaniczka,associate,16,full stack developer,18
kaggle_asaniczka,associate,17,salesforce developer,17
kaggle_asaniczka,associate,18,application developer,16
kaggle_asaniczka,associate,19,.net developer,14
kaggle_asaniczka,associate,20,full stack engineer,13
kaggle_asaniczka,associate,21,firmware engineer,11
kaggle_asaniczka,associate,22,engineer software,10
kaggle_asaniczka,associate,23,software test engineer,10
kaggle_asaniczka,associate,24,software engineer (e),7
kaggle_asaniczka,associate,25,dotnet developer,7
kaggle_asaniczka,associate,26,python developer,6
kaggle_asaniczka,associate,27,qa engineer,6
kaggle_asaniczka,associate,28,cloud engineer,6
kaggle_asaniczka,associate,29,java software engineer,6
kaggle_asaniczka,associate,30,software development engineer,6
kaggle_asaniczka,associate,31,machine learning engineer,6
kaggle_asaniczka,associate,32,programmer analyst,6
kaggle_asaniczka,associate,33,cyber software engineer (ec),5
kaggle_asaniczka,associate,34,developer,5
kaggle_asaniczka,associate,35,ansible platform engineer,5
kaggle_asaniczka,associate,36,systems test engineer,5
kaggle_asaniczka,associate,37,test automation engineer,5
kaggle_asaniczka,associate,38,java engineer,5
kaggle_asaniczka,associate,39,infrastructure engineer,5
kaggle_asaniczka,associate,40,android developer,5
kaggle_asaniczka,associate,41,angular developer,5
kaggle_asaniczka,associate,42,front end developer,4
kaggle_asaniczka,associate,43,embedded engineer,4
kaggle_asaniczka,associate,44,systems integration engineer,4
kaggle_asaniczka,associate,45,system test engineer,4
kaggle_asaniczka,associate,46,field application engineer,4
kaggle_asaniczka,associate,47,engineer systems,4
kaggle_asaniczka,associate,48,testing engineer,4
kaggle_asaniczka,associate,49,associate software engineer,4
kaggle_asaniczka,associate,50,database developer,4
kaggle_asaniczka,mid-senior,1,software engineer,1267
kaggle_asaniczka,mid-senior,2,systems engineer,541
kaggle_asaniczka,mid-senior,3,data engineer,426
kaggle_asaniczka,mid-senior,4,software developer,194
kaggle_asaniczka,mid-senior,5,test engineer,170
kaggle_asaniczka,mid-senior,6,system engineer,161
kaggle_asaniczka,mid-senior,7,automation engineer,148
kaggle_asaniczka,mid-senior,8,java developer,140
kaggle_asaniczka,mid-senior,9,. software engineer,134
kaggle_asaniczka,mid-senior,10,embedded software engineer,134
kaggle_asaniczka,mid-senior,11,c#/.net developer,121
kaggle_asaniczka,mid-senior,12,.net developer,118
kaggle_asaniczka,mid-senior,13,devops engineer,105
kaggle_asaniczka,mid-senior,14,site reliability engineer,101
kaggle_asaniczka,mid-senior,15,developer,94
kaggle_asaniczka,mid-senior,16,machine learning engineer,93
kaggle_asaniczka,mid-senior,17,"software engineer, full stack",91
kaggle_asaniczka,mid-senior,18,application engineer,88
kaggle_asaniczka,mid-senior,19,product engineer,80
kaggle_asaniczka,mid-senior,20,"software engineer, back end",80
kaggle_asaniczka,mid-senior,21,software engineer with security clearance,76
kaggle_asaniczka,mid-senior,22,systems engineer with security clearance,76
kaggle_asaniczka,mid-senior,23,full stack developer,74
kaggle_asaniczka,mid-senior,24,firmware engineer,73
kaggle_asaniczka,mid-senior,25,mainframe developer,69
kaggle_asaniczka,mid-senior,26,software architect,68
kaggle_asaniczka,mid-senior,27,reliability engineer,68
