source,seniority_final,seniority_final_source,n
kaggle_arshkon,associate,llm,15
kaggle_arshkon,entry,llm,177
kaggle_asaniczka,associate,llm,39
kaggle_asaniczka,entry,llm,238
scraped,associate,llm,121
scraped,entry,llm,1203
scraped,entry,title_keyword,447
