group,n,within_mean_cosine,within_diversity_proxy
entry_2024,773,0.02251691556059816,0.9774830844394018
entry_2026,561,0.028889251110905234,0.9711107488890948
mid_2024,2783,0.022845463277003715,0.9771545367229962
mid_2026,3353,0.029750040482178455,0.9702499595178216
