comparison,left_group,right_group,mean_cosine,n_left,n_right,directional_difference
entry_2026_vs_entry_2024,entry_2026,entry_2024,0.02127296881694974,561,773,-0.00011533408136981879
entry_2026_vs_mid_2024,entry_2026,mid_2024,0.02115763473557992,561,2783,
entry_2024_vs_mid_2024,entry_2024,mid_2024,0.02122523545086835,773,2783,
mid_2026_vs_mid_2024,mid_2026,mid_2024,0.02289680592075796,3353,2783,
