company,n_ar,n_sc,d_mean_breadth_raw,d_mean_breadth_resid,d_mean_desc_length_cleaned
AMERICAN SYSTEMS,3,7,-2.7142857142857144,0.2832504426397753,-1643.2380952380954
AT&T,8,23,-2.891304347826088,-0.26134530908494824,-1441.733695652174
AVEVA,5,4,0.0,0.9756542391376943,-534.8499999999999
Ace Technologies,3,4,4.0,3.820775864269836,98.25
Actalent,23,238,0.642126415783705,1.8904679144748053,-684.3361344537816
Aditi Consulting,8,33,-0.42803030303030276,0.7132815413381879,-625.6628787878788
Adobe,9,127,2.510936132983378,3.7979566136625236,-705.5398075240596
Agility Partners,4,8,3.375,4.688170226043279,-719.875
Akamai Technologies,3,27,3.62962962962963,4.891748592809424,-691.8888888888889
Akkodis,25,67,-0.030447761194030143,1.187683372264241,-667.7749253731342
AllSTEM Connections,6,7,-4.976190476190476,-3.4345979707726983,-845.0952380952378
Amazon,31,335,-0.4094366875300919,0.46445812645416673,-479.0658642272508
Amazon Web Services (AWS),12,339,-1.3141592920353986,0.2317284167716207,-847.4498525073747
American Express,6,18,3.7222222222222214,5.391535178822318,-915.1111111111111
"American Unit, Inc",8,7,-1.4464285714285712,0.2938241052795909,-954.0
Ampstek,6,34,0.7647058823529411,1.4932985371099041,-399.4117647058823
Amtex Systems Inc.,5,18,3.5777777777777775,3.858070746170477,-153.65555555555557
Anduril Industries,4,255,-2.098039215686274,0.3387097672886119,-1335.8166666666666
ApTask,7,5,7.457142857142856,8.012053616319612,-304.20000000000005
Apetan Consulting LLC,3,10,3.2333333333333334,2.780271743740303,248.36666666666673
Apex Systems,52,173,0.9668741662961322,2.643084605896343,-918.8922854602046
Apexon,4,8,5.0,6.529789728516125,-838.625
Ascendion,8,11,-1.9431818181818183,-0.2329863930129501,-937.5227272727273
"BAE Systems, Inc.",14,128,-3.844866071428571,-0.9855273208410291,-1567.4787946428573
BCforward,8,39,0.5384615384615383,1.5455697478935218,-552.0929487179487
BLUE ORIGIN,7,86,1.0132890365448501,3.5625918817614193,-1397.518272425249
BayOne Solutions,3,13,-1.948717948717948,-0.6445340701861615,-714.948717948718
BioSpace,3,35,1.3238095238095227,3.4424981000558095,-1161.457142857143
Blackhawk Network,3,6,-4.999999999999999,-3.8185496328288058,-647.6666666666666
Boeing,8,84,-3.1607142857142865,-0.2734749160629395,-1582.7738095238096
Booz Allen Hamilton,9,303,1.663366336633663,3.7855416094404606,-1163.3685368536853
Brightpath Associates LLC,3,5,-5.4,-2.9416346708836123,-1347.6666666666667
Brooksource,5,48,0.4666666666666668,2.563323030759186,-1149.3791666666668
ByteDance,3,118,-1.1440677966101696,0.31120817250939303,-797.7768361581922
CACI International Inc,10,82,1.6999999999999993,3.6423478276365118,-1064.7878048780487
CGI,8,85,-2.75,-1.0105145453067874,-953.5794117647059
Capgemini,4,121,-0.4008264462809912,0.47761416127630985,-481.55785123966945
Capital One,52,223,-3.7450845119006537,-2.558927383617288,-650.2468954812005
CarMax,3,3,3.0,3.576435897106687,-316.0
Caterpillar Inc.,3,8,-2.291666666666666,0.31574808151963196,-1429.375
Cbase Inc,3,6,-7.500000000000001,-3.362491495925685,-2268.1666666666665
Centene Corporation,3,7,-5.571428571428571,-2.116635247177946,-1893.9047619047622
Centraprise,14,23,0.5993788819875778,1.7746731669701574,-644.2919254658385
Charter Global,3,7,2.3333333333333335,3.4030753575751724,-586.4285714285714
Cisco,5,80,-0.7375000000000007,0.6693410593231156,-771.225
ClearanceJobs,14,3,-1.7619047619047628,2.1424581804103084,-2140.3571428571427
Cloudflare,7,38,0.9172932330827068,2.778235632751521,-1020.1616541353384
Cloudious LLC,3,7,4.857142857142858,4.568229988882333,158.3809523809524
Cogent Communications,6,3,0.0,2.989805175183101,-1639.0
Cognizant,8,55,2.1068181818181824,3.255498544127249,-629.7022727272728
Collabera,14,18,0.22222222222222232,0.8317536703834072,-334.1428571428571
Collins Aerospace,3,51,-3.215686274509805,-0.06034713731319308,-1729.7450980392155
Compunnel Inc.,26,37,1.4241164241164235,2.803123903957561,-755.966735966736
Confidential,5,7,0.6571428571428566,2.4571238826832316,-986.742857142857
ConsultNet Technology Services and Solutions,3,26,2.0769230769230766,2.3432744414211317,-146.01282051282044
CrowdStrike,4,29,-1.1637931034482758,0.8982515790023058,-1130.405172413793
Cygnus Professionals Inc.,4,4,2.25,3.722556575757509,-807.25
DataAnnotation,8,71,1.422535211267606,2.10900546558296,-376.32042253521126
Deloitte,22,59,4.224961479198768,5.966833136796387,-954.8875192604005
Delta Air Lines,3,8,1.458333333333334,2.2194658588642353,-417.25
Dexian,7,38,-1.8496240601503757,0.34491408776668697,-1203.0375939849623
Docusign,3,30,-2.5999999999999996,-0.6381721746571571,-1075.4666666666667
