cluster,d_entry_share_j2,d_ai_strict,d_mean_desc_length_cleaned,d_mean_tech_count,d_mean_org_scope_per_1k,d_mean_breadth_resid,n_ar,n_sc,n_companies
0,-0.3216,0.1111,-1032.6409,0.0402,-0.0139,-1.0755,4.4,22.5333,15
1,-0.0101,0.4137,-536.4323,3.4437,0.049,3.868,6.24,15.12,25
2,-0.0015,0.068,-513.8819,1.5654,0.0044,1.5785,9.5476,54.1429,84
3,-0.0003,0.1192,-943.9661,4.8389,-0.1734,4.8355,6.537,37.3148,54
4,0.0363,0.0996,-1239.5479,-0.5213,-0.2413,-0.7398,6.6935,68.0645,62
