archetype_name,n_pairs,mean_d_ai_strict,median_d_ai_strict
ai_ml_engineering,9,0.468013468013468,0.5
technology_leadership,3,0.2222222222222222,0.0
unlabeled,214,0.12789694806678215,0.1
cloud_devops,15,0.08888888888888888,0.0
generic_software_engineer,33,0.06721056721056722,0.0
java_spring_backend,15,0.06666666666666667,0.0
recommendation_ecommerce,1,0.02857142857142857,0.02857142857142857
data_engineering,19,0.02631578947368421,0.0
backend_platform,1,0.0,0.0
aws_cloud_services,2,0.0,0.0
angular_frontend,1,0.0,0.0
dotnet_web_sql,2,0.0,0.0
internship_new_grad,1,0.0,0.0
frontend_react,7,0.0,0.0
customer_project_engineer,1,0.0,0.0
mobile_android_ios,3,0.0,0.0
python_backend_developer,1,0.0,0.0
network_security_linux,5,0.0,0.0
systems_engineering,10,0.0,0.0
test_engineering,1,0.0,0.0
