agg_heavy,d_entry_share_j2,d_ai_strict,d_mean_desc_length_cleaned,d_mean_tech_count,d_mean_org_scope_per_1k,d_mean_breadth_resid,n_ar,n_sc,n_companies
0,-0.0164,0.1238,-857.5983,1.8804,-0.1032,1.7865,6.7206,46.9559,204
1,0.0105,0.1413,-692.8499,1.7659,-0.0526,1.7768,11.6944,53.3333,36
