company,cluster,n_ar,n_sc,agg_rate_ar,agg_rate_sc,d_entry_share_j2,d_ai_strict,d_mean_desc_length_cleaned,d_mean_tech_count,d_mean_org_scope_per_1k,d_mean_breadth_resid
AMERICAN SYSTEMS,4,3,7,0.0,0.0,0.0,0.0,-1643.2380952380954,-1.8095238095238098,0.0,0.2832504426397753
AT&T,4,8,23,0.0,0.0,0.0,0.17391304347826086,-1441.733695652174,0.17934782608695699,-0.23696389343789342,-0.26134530908494824
AVEVA,2,5,4,0.0,0.0,0.0,0.0,-534.8499999999999,2.3,0.29537153349595885,0.9756542391376943
Ace Technologies,2,3,4,0.0,0.75,0.0,0.0,98.25,2.6666666666666665,0.2657188795802657,3.820775864269836
Actalent,2,23,238,1.0,1.0,0.008403361344537815,0.02100840336134454,-684.3361344537816,1.5957252466203873,0.024942632292723393,1.8904679144748053
Aditi Consulting,4,8,33,1.0,1.0,0.0,0.12121212121212122,-625.6628787878788,0.7689393939393936,-0.39206416981822617,0.7132815413381879
Adobe,3,9,127,0.0,0.0,-0.19072615923009623,0.14085739282589677,-705.5398075240596,4.923009623797026,-0.1775185971506496,3.7979566136625236
Agility Partners,2,4,8,0.0,0.0,-0.25,-0.125,-719.875,3.625,0.3045066991473812,4.688170226043279
Akamai Technologies,3,3,27,0.0,0.0,0.0,0.1111111111111111,-691.8888888888889,5.555555555555555,0.1003395484544764,4.891748592809424
Akkodis,2,25,67,0.04,0.04477611940298507,-0.08,0.1044776119402985,-667.7749253731342,1.0740298507462684,-0.028445776453780824,1.187683372264241
AllSTEM Connections,4,6,7,0.0,0.0,0.0,0.0,-845.0952380952378,-4.142857142857143,-0.5204347083895611,-3.4345979707726983
Amazon,2,31,335,0.0,0.03582089552238806,-0.08127106403466539,0.07164179104477612,-479.0658642272508,1.039865190178142,-0.2640145707288517,0.46445812645416673
Amazon Web Services (AWS),4,12,339,0.0,0.0,0.0029498525073746312,0.032448377581120944,-847.4498525073747,1.000737463126844,-0.4880330443699643,0.2317284167716207
American Express,1,6,18,0.0,0.05555555555555555,0.0,0.5,-915.1111111111111,6.222222222222222,-0.29187825998319417,5.391535178822318
"American Unit, Inc",4,8,7,0.0,0.0,0.0,0.2857142857142857,-954.0,1.0357142857142856,-0.32198666596395065,0.2938241052795909
Ampstek,2,6,34,0.0,0.0,0.0,0.17647058823529413,-399.4117647058823,2.0392156862745097,0.0,1.4932985371099041
Amtex Systems Inc.,2,5,18,0.0,0.0,0.0,0.1111111111111111,-153.65555555555557,3.4444444444444446,0.0,3.858070746170477
Anduril Industries,4,4,255,0.0,0.0,0.00784313725490196,0.01568627450980392,-1335.8166666666666,-0.6950980392156865,-0.8822611672261529,0.3387097672886119
ApTask,1,7,5,0.0,0.4,0.0,0.4,-304.20000000000005,7.628571428571428,0.0385614843367129,8.012053616319612
Apetan Consulting LLC,2,3,10,0.0,0.5,0.0,0.1,248.36666666666673,4.333333333333334,0.3022334671781356,2.780271743740303
Apex Systems,2,52,173,1.0,1.0,-0.03268119164072922,0.13683859493108047,-918.8922854602046,2.3659404179635395,-0.058989093384550356,2.643084605896343
Apexon,3,4,8,0.0,0.125,0.0,0.0,-838.625,5.25,0.0,6.529789728516125
Ascendion,4,8,11,0.0,0.0,0.0,0.18181818181818182,-937.5227272727273,-0.375,-0.35228347854770353,-0.2329863930129501
"BAE Systems, Inc.",4,14,128,0.0,0.0,-0.047991071428571425,0.015625,-1567.4787946428573,-0.9542410714285712,0.053040561969318396,-0.9855273208410291
BCforward,2,8,39,0.0,0.3076923076923077,0.0,0.07692307692307693,-552.0929487179487,1.5256410256410255,-0.3567473437421224,1.5455697478935218
BLUE ORIGIN,3,7,86,0.0,0.0,0.023255813953488372,0.046511627906976744,-1397.518272425249,2.750830564784053,-0.33818772372452954,3.5625918817614193
BayOne Solutions,2,3,13,0.0,0.07692307692307693,0.15384615384615385,0.0,-714.948717948718,-1.0,0.07135721421435706,-0.6445340701861615
BioSpace,3,3,35,0.0,0.0,0.0,0.2,-1161.457142857143,4.676190476190477,-0.1534149775406016,3.4424981000558095
Blackhawk Network,0,3,6,0.0,0.0,-0.3333333333333333,0.16666666666666666,-647.6666666666666,-2.333333333333334,0.0,-3.8185496328288058
Boeing,0,8,84,0.0,0.0,-0.2916666666666667,0.011904761904761904,-1582.7738095238096,2.488095238095238,0.07482197684827685,-0.2734749160629395
Booz Allen Hamilton,3,9,303,0.0,0.0,0.006600660066006601,-0.028602860286028597,-1163.3685368536853,3.2376237623762387,0.1181644991408524,3.7855416094404606
Brightpath Associates LLC,4,3,5,0.0,0.0,0.0,0.0,-1347.6666666666667,-1.7333333333333334,0.0,-2.9416346708836123
Brooksource,3,5,48,0.0,0.020833333333333332,0.14583333333333334,0.16666666666666666,-1149.3791666666668,4.058333333333334,-0.364959145903882,2.563323030759186
ByteDance,4,3,118,0.0,0.0,0.07344632768361586,0.0423728813559322,-797.7768361581922,-0.16949152542372925,-0.40809351102578545,0.31120817250939303
CACI International Inc,3,10,82,0.0,0.012195121951219513,-0.026829268292682937,0.13414634146341464,-1064.7878048780487,2.8634146341463413,0.10656405961181002,3.6423478276365118
CGI,4,8,85,0.125,0.0,-0.054411764705882354,0.16470588235294117,-953.5794117647059,-1.242647058823529,-0.04025535316264087,-1.0105145453067874
Capgemini,2,4,121,1.0,1.0,0.03305785123966942,0.18181818181818182,-481.55785123966945,-0.45454545454545503,0.1679119681112065,0.47761416127630985
Capital One,2,52,223,0.0,0.008968609865470852,0.0,0.25112107623318386,-650.2468954812005,1.0058640910658845,-0.013851284995280377,-2.558927383617288
CarMax,1,3,3,0.0,0.0,0.0,0.3333333333333333,-316.0,1.333333333333334,0.21822149481723951,3.576435897106687
Caterpillar Inc.,4,3,8,0.0,0.0,0.125,0.375,-1429.375,-0.6666666666666661,-0.18832391713747645,0.31574808151963196
Cbase Inc,4,3,6,0.0,0.0,0.0,0.16666666666666666,-2268.1666666666665,-4.333333333333333,0.0,-3.362491495925685
Centene Corporation,4,3,7,0.0,0.0,0.0,0.14285714285714285,-1893.9047619047622,-2.0,-0.3233107015842224,-2.116635247177946
Centraprise,2,14,23,0.0,0.21739130434782608,0.0,0.043478260869565216,-644.2919254658385,0.9689440993788825,0.0,1.7746731669701574
Charter Global,2,3,7,0.0,0.14285714285714285,0.0,0.0,-586.4285714285714,2.7142857142857144,0.0,3.4030753575751724
Cisco,4,5,80,0.0,0.0625,0.15,0.1375,-771.225,1.9124999999999996,-0.5166465943124928,0.6693410593231156
ClearanceJobs,3,14,3,1.0,1.0,0.0,0.0,-2140.3571428571427,3.9523809523809517,-0.05746072169495461,2.1424581804103084
Cloudflare,2,7,38,0.0,0.0,0.07894736842105263,0.05263157894736842,-1020.1616541353384,1.2894736842105265,-0.021281994256488704,2.778235632751521
Cloudious LLC,1,3,7,0.0,0.8571428571428571,0.0,0.42857142857142855,158.3809523809524,3.7142857142857135,0.19175455417066153,4.568229988882333
Cogent Communications,4,6,3,0.0,0.0,0.0,0.0,-1639.0,1.166666666666667,-0.1417233560090703,2.989805175183101
Cognizant,3,8,55,1.0,1.0,0.0,0.18181818181818182,-629.7022727272728,2.7386363636363633,-0.21644845816414637,3.255498544127249
Collabera,2,14,18,1.0,1.0,0.0,0.2222222222222222,-334.1428571428571,0.1984126984126986,-0.04489888570248024,0.8317536703834072
Collins Aerospace,4,3,51,0.0,0.0,0.0,0.0,-1729.7450980392155,3.058823529411765,-0.2833262501770789,-0.06034713731319308
Compunnel Inc.,2,26,37,0.0,0.32432432432432434,0.0,0.08108108108108109,-755.966735966736,2.2099792099792097,0.009227569135769643,2.803123903957561
Confidential,2,5,7,0.0,0.0,0.0,0.0,-986.742857142857,1.8285714285714292,-0.1949317738791423,2.4571238826832316
ConsultNet Technology Services and Solutions,1,3,26,0.0,0.0,0.038461538461538464,0.23076923076923078,-146.01282051282044,8.076923076923077,0.22697998757164037,2.3432744414211317
CrowdStrike,4,4,29,0.0,0.0,0.0,0.06896551724137931,-1130.405172413793,-0.11206896551724199,-0.09521843096710757,0.8982515790023058
Cygnus Professionals Inc.,3,4,4,0.0,0.0,0.0,0.0,-807.25,4.0,-0.3293611230753127,3.722556575757509
DataAnnotation,2,8,71,1.0,1.0,0.0,0.0,-376.32042253521126,2.774647887323944,0.0,2.10900546558296
Deloitte,1,22,59,0.0,0.0,-0.045454545454545456,0.3220338983050847,-954.8875192604005,4.909861325115563,0.11797511842663902,5.966833136796387
Delta Air Lines,3,3,8,0.0,0.0,0.0,0.125,-417.25,4.666666666666667,-0.28044310211361645,2.2194658588642353
Dexian,0,7,38,0.0,0.0,-0.14285714285714285,0.15789473684210525,-1203.0375939849623,-0.41353383458646675,0.0006197354303932728,0.34491408776668697
Docusign,0,3,30,0.0,0.0,-0.3,0.2,-1075.4666666666667,-1.4333333333333336,0.17600906958153703,-0.6381721746571571
EPITEC,4,11,33,0.0,0.0,-0.09090909090909091,0.09090909090909091,-1269.6060606060607,1.6969696969696964,-0.14886615400672643,1.4371820848752261
EVONA,2,4,22,0.0,0.0,0.0,0.09090909090909091,-346.5681818181818,0.045454545454545414,0.04320774282751469,-0.1632572644577186
Ehub Global Inc,2,5,5,0.0,0.0,0.0,0.0,301.99999999999994,4.999999999999999,0.0736105999263894,5.049102402132217
