uid,source,period,company_name_canonical,snippet,llm_vocab_count,llm_vocab_density_1k,year,tier
asaniczka_1dad040339687b1a,kaggle_asaniczka,2024-01,Ekodus,"Job Title :- Senior Backend Java Developer(Hybrid)
Location :- San Leandro, CA
Duration :- 12+ months
Job Description
Core Java and Spring experience
RESTful web services
experience with Apache Kafka
Agile experience and experience with SDLC tools and processes including GitHub, Jenkins, Artifactory, Sonar, Maven or Gradle
Knowledge of BDD, developing JUnit test cases, Cucumber
JSON (JavaScript Ob",0,0.0,2024,low
asaniczka_d606d3532311226d,kaggle_asaniczka,2024-01,AmplifyBio,"Do you want to be part of a growing world-class organization focused on bettering our world? Are you passionate about significantly improving the future of medicine? Do you believe that people are the most important asset of any company? If so, join
AmplifyBio
!
AmplifyBio
is a newly established, commercially focused preclinical CRO that was created as a Battelle spin-off. Aligned with, and suppor",15,1.5137753557372087,2024,high
asaniczka_374fa5129438f437,kaggle_asaniczka,2024-01,Gallin Associates,"Sr. Systems Engineer
Tasks Includes But Not Limited To
Derive requirements from customer/company (IRAD) requirements/requests
Generate flow down requirements for subassemblies, vendors, or other disciplines
Provide technical guidance and support to other disciplines
Generate and maintain System level block diagrams, System level ATPs, System level Interface Documents, and System level reports
Exec",0,0.0,2024,low
asaniczka_8f6ba38ff63cf7b8,kaggle_asaniczka,2024-01,CyberCoders,"If you are a Sr. Software Engineer with experience, please read on!
We are seeking a Senior Signal Processing Engineer/Scientist to develop machine learning and complex signal processing algorithms. The individual should be capable of leading efforts or playing a key role in a variety of machine learning and algorithm development for next-generation applications; in radar, communications, and elec",0,0.0,2024,low
asaniczka_1865f7e56049a045,kaggle_asaniczka,2024-01,"Syms Strategic Group, LLC (SSG)","Syms Strategic Group (SSG)
is seeking a talented .
Net/C# Developer
Department:
Veterans Affairs
Type:
Full Time
Min. Experience:
Experienced
Security Clearance Level:
Public Trust (MBI)
Military Veterans are highly encouraged to apply!
Essential Duties And Responsibilities
.Net and/or C# experience required.
Performs code reviews.
Performs system maintenance and enhancements.
Designs and develops",0,0.0,2024,low
asaniczka_8e0ffb5ae4ceb0fe,kaggle_asaniczka,2024-01,CyberCoders,"We are a medical device software company that has been developing more mechanical solutions than software solutions, but that is changing. Most of the work we have done has been using C# and the .Net Framework and technology stack, but we are migrating towards cloud technology. As we grow, we are in need of someone to lead a small group of developers and have our team working at the highest standa",0,0.0,2024,low
asaniczka_3f3a3268d4c89185,kaggle_asaniczka,2024-01,Recruiting from Scratch,"This is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch:
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team is 100% remote and we work with teams across the United States to help them hire. We work with companies funded by the best investors including Sequoia Cap",0,0.0,2024,low
asaniczka_96864da003473e93,kaggle_asaniczka,2024-01,Zortech Solutions,"Role: Lead Data Engineer-Java
Location: Scottsdale AZ (Onsite from Day 1)
Duration: FTE or C2H (H1 Transfer works)
Must have skill set: Java, Scala , Python, Spark, S3, Glue, Redshift
Job Description
You have 8+ years of relevant software development experience.
You have hands-on experience in Java/Scala/Python, Spark, S3, Glue, Redshift. This is critical
Highly analytical and data oriented.
Exper",0,0.0,2024,low
asaniczka_1d037bcb6cc42d98,kaggle_asaniczka,2024-01,Energy Jobline,"Description
Job Description
At Leidos, we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams, contribute to our communities, and operate sustainable practices. Everything we do is built on a commitment to do the right thing for our customers, our people, and our community. Our Mission, Vision, and Va",16,1.5343306482546988,2024,high
asaniczka_1b9cfaa5bee4733b,kaggle_asaniczka,2024-01,Identiv,"Description
Company Description
Identiv stands as a global leader in digital security and identification within the Internet of Things (IoT) realm. Our comprehensive platform encompasses radio frequency identification (RFID) and near-field communication (NFC) technology, robust cybersecurity, and a full spectrum of physical access, video, and audio security solutions. Our mission encompasses ensur",20,1.8244845831052727,2024,high
asaniczka_f879b664d05f6323,kaggle_asaniczka,2024-01,WEX,"Who Are We?
We’re the Gateway team at Wex.
Wex is a leading and growing global provider of payment processing, information management and fleet card payment solutions. We hire people who share our passion for continuous innovation and unparalleled client service.
The Gateway is a mission critical, payment processing solution built by a small, agile team. It is Java based and becoming cloud-native ",0,0.0,2024,low
asaniczka_e1f3195a54266009,kaggle_asaniczka,2024-01,Mr. Cooper,"At Mr. Cooper Group, You Make the Dream Possible.
Our purpose is simple: Keeping the dream of homeownership alive. As a Mr. Cooper Group team member, you play a big role in making that dream possible. Around here, we know our roles and work together, volunteer to make a difference, and challenge the status quo when needed. Everything we do is in the care and service of our teammates and our custom",16,2.377767870411651,2024,high
asaniczka_0bb105ff304fe5e2,kaggle_asaniczka,2024-01,ManTech,"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you will help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented
Seni",0,0.0,2024,low
