is_aggregator,period,seniority_3level,n,mean_kitchen_sink,mean_tech_count,mean_org_scope,mean_aspiration,mgmt_rate,ai_rate
False,2024-01,junior,118,1.0677966101694916,3.9661016949152543,0.3559322033898305,0.7195578231292517,0.3644067796610169,0.1271186440677966
False,2024-01,mid,1356,1.5833333333333333,3.254424778761062,0.5486725663716814,0.924704118511458,0.3967551622418879,0.1556047197640118
False,2024-01,senior,15399,3.2780700045457496,4.046561465030197,0.7406325086044548,0.660884113653118,0.5222417040067537,0.10299370088966817
False,2024-04,junior,638,2.512539184952978,4.1426332288401255,0.5579937304075235,0.6472833289159821,0.4482758620689655,0.12695924764890282
False,2024-04,mid,221,1.7058823529411764,3.475113122171946,0.5113122171945701,0.7484455958549222,0.4434389140271493,0.09502262443438914
False,2024-04,senior,2758,4.407904278462654,5.024655547498187,0.7480058013052937,0.7316962999547268,0.5242929659173314,0.11856417693981146
False,2024-04,unknown,811,1.6633785450061653,4.456226880394575,0.3649815043156597,0.715450861195542,0.311960542540074,0.13070283600493218
False,2026-03,junior,2338,3.344739093242087,4.585115483319076,0.6253207869974337,0.7882049406793434,0.6124893071000855,0.5453378956372968
False,2026-03,mid,543,4.4659300184162065,4.976058931860037,0.9005524861878453,0.8423583662714098,0.6114180478821363,0.3738489871086556
False,2026-03,senior,16158,7.866072533729422,5.729793291248917,1.2906300284688699,0.7696804504490562,0.7490407228617403,0.5565664067335067
False,2026-03,unknown,1539,5.795321637426901,5.5549057829759585,1.0922677063027941,0.6704684840895225,0.7199480181936322,0.6198830409356725
True,2024-01,junior,12,3.6666666666666665,4.583333333333333,0.75,0.5969696969696969,0.6666666666666666,0.08333333333333333
True,2024-01,mid,94,1.3829787234042554,3.7872340425531914,0.3829787234042553,0.7530120481927711,0.3191489361702128,0.0425531914893617
True,2024-01,senior,6234,7.375521334616619,6.580686557587423,0.9260506897658004,0.9847926943857177,0.6794995187680462,0.22874558870709016
True,2024-04,junior,192,0.8333333333333334,3.6666666666666665,0.25,0.5985260770975057,0.21354166666666666,0.06770833333333333
True,2024-04,mid,7,1.5714285714285714,2.857142857142857,0.5714285714285714,0.9047619047619048,0.5714285714285714,0.0
True,2024-04,senior,250,2.144,4.744,0.504,0.4514049764049764,0.392,0.228
True,2024-04,unknown,142,0.13380281690140844,4.112676056338028,0.04225352112676056,0.06119047619047619,0.028169014084507043,0.9154929577464789
True,2026-03,junior,917,3.711014176663032,4.767720828789531,0.7306434023991276,0.5324550201487032,0.6270447110141767,0.3969465648854962
True,2026-03,mid,79,3.4683544303797467,3.8227848101265822,0.5316455696202531,0.6443037974683544,0.6708860759493671,0.8987341772151899
True,2026-03,senior,2434,6.657764995891537,5.9445357436318815,1.0262941659819227,0.7077049075025694,0.8023829087921117,0.4067378800328677
True,2026-03,unknown,87,4.252873563218391,4.655172413793103,0.8160919540229885,0.5744131455399061,0.5632183908045977,0.3333333333333333
