period,seniority,n,mean_kitchen_sink
2024-01,junior,130,1.3076923076923077
2024-01,mid,1450,1.5703448275862069
2024-01,senior,21633,4.458836037535247
2024-04,junior,830,2.1240963855421686
2024-04,mid,228,1.7017543859649122
2024-04,senior,3008,4.219747340425532
2024-04,unknown,953,1.435466946484785
2026-03,junior,3255,3.447926267281106
2026-03,mid,622,4.339228295819936
2026-03,senior,18592,7.707885111876076
2026-03,unknown,1626,5.712792127921279
