period,ai_hedge,ai_firm,nonai_hedge,nonai_firm,n,ai_hedge_frac,nonai_hedge_frac
2024-01,641,954,2961,5691,3243,0.40188087774294673,0.3422330097087379
2024-04,96,215,357,1276,735,0.3086816720257235,0.21861604409063073
2026-03,959,3826,15154,35324,12879,0.20041797283176593,0.300209992471968
