column,dtype,source,source_platform,subset,n_rows,non_null_n,non_null_rate,null_rate,distinct_n,top_5_values
uid,VARCHAR,kaggle_arshkon,linkedin,all,118100,118100,1.0,0.0,118100,"[""arshkon_1014822088 (1)"", ""arshkon_103254301 (1)"", ""arshkon_103860943 (1)"", ""arshkon_1093227543 (1)"", ""arshkon_10998357 (1)""]"
uid,VARCHAR,kaggle_arshkon,linkedin,swe,4643,4643,1.0,0.0,4643,"[""arshkon_133130219 (1)"", ""arshkon_175485704 (1)"", ""arshkon_2234533717 (1)"", ""arshkon_2269442456 (1)"", ""arshkon_3475933396 (1)""]"
uid,VARCHAR,kaggle_asaniczka,linkedin,all,1058779,1058779,1.0,0.0,1058779,"[""asaniczka_0000013cc4386253 (1)"", ""asaniczka_00000fd1404e8578 (1)"", ""asaniczka_0000527d9e26a023 (1)"", ""asaniczka_00005de450c4dc21 (1)"", ""asaniczka_000063fa9c460488 (1)""]"
uid,VARCHAR,kaggle_asaniczka,linkedin,swe,22913,22913,1.0,0.0,22913,"[""asaniczka_00015ce036ec7460 (1)"", ""asaniczka_0003c47024a5c2bc (1)"", ""asaniczka_000459587be6807b (1)"", ""asaniczka_00075366bcbc814d (1)"", ""asaniczka_00088a75e9a4b190 (1)""]"
uid,VARCHAR,scraped,indeed,all,13567,13567,1.0,0.0,13567,"[""indeed_in-0001ca654519e898 (1)"", ""indeed_in-00065fb90e634182 (1)"", ""indeed_in-00092430f5fed366 (1)"", ""indeed_in-000dfd4cd0d00343 (1)"", ""indeed_in-000f155a3f999d35 (1)""]"
uid,VARCHAR,scraped,indeed,swe,1073,1073,1.0,0.0,1073,"[""indeed_in-0066529d9733677e (1)"", ""indeed_in-009dd1b764478590 (1)"", ""indeed_in-00b95324fd1e045c (1)"", ""indeed_in-00d59d3229fc881c (1)"", ""indeed_in-011deadc71be712a (1)""]"
uid,VARCHAR,scraped,linkedin,all,26853,26853,1.0,0.0,26853,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3197654586 (1)"", ""linkedin_li-3421399487 (1)"", ""linkedin_li-3507634980 (1)"", ""linkedin_li-3696371940 (1)""]"
uid,VARCHAR,scraped,linkedin,swe,4364,4364,1.0,0.0,4364,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3736674638 (1)"", ""linkedin_li-3784029352 (1)"", ""linkedin_li-3848834439 (1)"", ""linkedin_li-3875730538 (1)""]"
job_id,VARCHAR,kaggle_arshkon,linkedin,all,118100,118100,1.0,0.0,118100,"[""arshkon_1014822088 (1)"", ""arshkon_103254301 (1)"", ""arshkon_103860943 (1)"", ""arshkon_1093227543 (1)"", ""arshkon_10998357 (1)""]"
job_id,VARCHAR,kaggle_arshkon,linkedin,swe,4643,4643,1.0,0.0,4643,"[""arshkon_133130219 (1)"", ""arshkon_175485704 (1)"", ""arshkon_2234533717 (1)"", ""arshkon_2269442456 (1)"", ""arshkon_3475933396 (1)""]"
