title_normalized,asan_associate_n,arsh_entry_n
accountant,840.0,98.0
line cook,716.0,18.0
sales associate,560.0,149.0
automotive technician,535.0,58.0
maintenance technician,431.0,136.0
assistant store manager,322.0,231.0
administrative assistant,372.0,111.0
account executive,404.0,23.0
prep cook,387.0,6.0
project manager,290.0,81.0
grill cook,349.0,2.0
retail sales associate,159.0,189.0
account manager,285.0,41.0
outside sales representative,211.0,53.0
manufacturing engineer,228.0,31.0
project engineer,208.0,46.0
financial analyst,205.0,44.0
warehouse associate,148.0,95.0
customer service representative,178.0,60.0
receptionist,65.0,170.0
