column,source,source_platform,subset,non_null_rate
uid,kaggle_arshkon,linkedin,all,1.0
uid,kaggle_arshkon,linkedin,swe,1.0
uid,kaggle_asaniczka,linkedin,all,1.0
uid,kaggle_asaniczka,linkedin,swe,1.0
uid,scraped,indeed,all,1.0
uid,scraped,indeed,swe,1.0
uid,scraped,linkedin,all,1.0
uid,scraped,linkedin,swe,1.0
job_id,kaggle_arshkon,linkedin,all,1.0
job_id,kaggle_arshkon,linkedin,swe,1.0
job_id,kaggle_asaniczka,linkedin,all,1.0
job_id,kaggle_asaniczka,linkedin,swe,1.0
job_id,scraped,indeed,all,1.0
job_id,scraped,indeed,swe,1.0
job_id,scraped,linkedin,all,1.0
job_id,scraped,linkedin,swe,1.0
source,kaggle_arshkon,linkedin,all,1.0
source,kaggle_arshkon,linkedin,swe,1.0
source,kaggle_asaniczka,linkedin,all,1.0
source,kaggle_asaniczka,linkedin,swe,1.0
source,scraped,indeed,all,1.0
source,scraped,indeed,swe,1.0
source,scraped,linkedin,all,1.0
source,scraped,linkedin,swe,1.0
source_platform,kaggle_arshkon,linkedin,all,1.0
source_platform,kaggle_arshkon,linkedin,swe,1.0
source_platform,kaggle_asaniczka,linkedin,all,1.0
source_platform,kaggle_asaniczka,linkedin,swe,1.0
source_platform,scraped,indeed,all,1.0
source_platform,scraped,indeed,swe,1.0
source_platform,scraped,linkedin,all,1.0
source_platform,scraped,linkedin,swe,1.0
site,kaggle_arshkon,linkedin,all,1.0
site,kaggle_arshkon,linkedin,swe,1.0
site,kaggle_asaniczka,linkedin,all,1.0
site,kaggle_asaniczka,linkedin,swe,1.0
site,scraped,indeed,all,1.0
site,scraped,indeed,swe,1.0
site,scraped,linkedin,all,1.0
site,scraped,linkedin,swe,1.0
title,kaggle_arshkon,linkedin,all,1.0
title,kaggle_arshkon,linkedin,swe,1.0
title,kaggle_asaniczka,linkedin,all,1.0
title,kaggle_asaniczka,linkedin,swe,1.0
title,scraped,indeed,all,1.0
title,scraped,indeed,swe,1.0
title,scraped,linkedin,all,1.0
title,scraped,linkedin,swe,1.0
title_normalized,kaggle_arshkon,linkedin,all,1.0
title_normalized,kaggle_arshkon,linkedin,swe,1.0
title_normalized,kaggle_asaniczka,linkedin,all,1.0
title_normalized,kaggle_asaniczka,linkedin,swe,1.0
title_normalized,scraped,indeed,all,1.0
title_normalized,scraped,indeed,swe,1.0
title_normalized,scraped,linkedin,all,1.0
title_normalized,scraped,linkedin,swe,1.0
company_name,kaggle_arshkon,linkedin,all,0.9855038103302286
company_name,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_name,kaggle_asaniczka,linkedin,all,0.9999943330950085
company_name,kaggle_asaniczka,linkedin,swe,1.0
company_name,scraped,indeed,all,0.9630721603891796
company_name,scraped,indeed,swe,0.972972972972973
company_name,scraped,linkedin,all,1.0
company_name,scraped,linkedin,swe,1.0
company_name_normalized,kaggle_arshkon,linkedin,all,0.9855038103302286
company_name_normalized,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_name_normalized,kaggle_asaniczka,linkedin,all,0.9999943330950085
company_name_normalized,kaggle_asaniczka,linkedin,swe,1.0
company_name_normalized,scraped,indeed,all,0.9630721603891796
company_name_normalized,scraped,indeed,swe,0.972972972972973
company_name_normalized,scraped,linkedin,all,1.0
company_name_normalized,scraped,linkedin,swe,1.0
location,kaggle_arshkon,linkedin,all,1.0
location,kaggle_arshkon,linkedin,swe,1.0
location,kaggle_asaniczka,linkedin,all,0.9999877217058517
location,kaggle_asaniczka,linkedin,swe,0.9999563566534282
location,scraped,indeed,all,1.0
location,scraped,indeed,swe,1.0
location,scraped,linkedin,all,0.9648084012959446
location,scraped,linkedin,swe,0.9564619615032081
date_posted,kaggle_arshkon,linkedin,all,1.0
date_posted,kaggle_arshkon,linkedin,swe,1.0
date_posted,kaggle_asaniczka,linkedin,all,1.0
date_posted,kaggle_asaniczka,linkedin,swe,1.0
date_posted,scraped,indeed,all,1.0
date_posted,scraped,indeed,swe,1.0
date_posted,scraped,linkedin,all,0.015491751387182066
date_posted,scraped,linkedin,swe,0.010999083409715857
scrape_date,kaggle_arshkon,linkedin,all,0.0
scrape_date,kaggle_arshkon,linkedin,swe,0.0
scrape_date,kaggle_asaniczka,linkedin,all,0.0
scrape_date,kaggle_asaniczka,linkedin,swe,0.0
scrape_date,scraped,indeed,all,1.0
scrape_date,scraped,indeed,swe,1.0
scrape_date,scraped,linkedin,all,1.0
scrape_date,scraped,linkedin,swe,1.0
description,kaggle_arshkon,linkedin,all,0.9999407281964436
description,kaggle_arshkon,linkedin,swe,1.0
description,kaggle_asaniczka,linkedin,all,0.9592851766043716
description,kaggle_asaniczka,linkedin,swe,0.962466721948239
description,scraped,indeed,all,1.0
description,scraped,indeed,swe,1.0
description,scraped,linkedin,all,0.9998882806390348
description,scraped,linkedin,swe,1.0
description_raw,kaggle_arshkon,linkedin,all,0.9999407281964436
description_raw,kaggle_arshkon,linkedin,swe,1.0
description_raw,kaggle_asaniczka,linkedin,all,0.9592851766043716
description_raw,kaggle_asaniczka,linkedin,swe,0.962466721948239
description_raw,scraped,indeed,all,1.0
description_raw,scraped,indeed,swe,1.0
description_raw,scraped,linkedin,all,0.9998882806390348
description_raw,scraped,linkedin,swe,1.0
description_length,kaggle_arshkon,linkedin,all,1.0
description_length,kaggle_arshkon,linkedin,swe,1.0
description_length,kaggle_asaniczka,linkedin,all,1.0
description_length,kaggle_asaniczka,linkedin,swe,1.0
description_length,scraped,indeed,all,1.0
description_length,scraped,indeed,swe,1.0
description_length,scraped,linkedin,all,1.0
