state,soc_label,year,employment
AK,software_developers_15_1252,2024,430
AL,software_developers_15_1252,2024,18020
AR,software_developers_15_1252,2024,6390
AZ,software_developers_15_1252,2024,35650
CA,software_developers_15_1252,2024,292630
CO,software_developers_15_1252,2024,48980
CT,software_developers_15_1252,2024,16490
DC,software_developers_15_1252,2024,8250
DE,software_developers_15_1252,2024,3850
FL,software_developers_15_1252,2024,82610
GA,software_developers_15_1252,2024,47350
HI,software_developers_15_1252,2024,1940
IA,software_developers_15_1252,2024,9840
ID,software_developers_15_1252,2024,4960
IL,software_developers_15_1252,2024,54490
IN,software_developers_15_1252,2024,12690
KS,software_developers_15_1252,2024,15850
KY,software_developers_15_1252,2024,7070
LA,software_developers_15_1252,2024,3870
MA,software_developers_15_1252,2024,54260
MD,software_developers_15_1252,2024,31940
ME,software_developers_15_1252,2024,2740
MI,software_developers_15_1252,2024,41490
MN,software_developers_15_1252,2024,39580
MO,software_developers_15_1252,2024,17060
MS,software_developers_15_1252,2024,3200
MT,software_developers_15_1252,2024,2070
NC,software_developers_15_1252,2024,57590
ND,software_developers_15_1252,2024,1510
NE,software_developers_15_1252,2024,8940
NH,software_developers_15_1252,2024,8010
NJ,software_developers_15_1252,2024,57120
NM,software_developers_15_1252,2024,4810
NV,software_developers_15_1252,2024,4640
NY,software_developers_15_1252,2024,104130
OH,software_developers_15_1252,2024,44280
OK,software_developers_15_1252,2024,7150
OR,software_developers_15_1252,2024,21100
PA,software_developers_15_1252,2024,47350
RI,software_developers_15_1252,2024,6010
SC,software_developers_15_1252,2024,12230
SD,software_developers_15_1252,2024,2190
TN,software_developers_15_1252,2024,18750
TX,software_developers_15_1252,2024,151460
UT,software_developers_15_1252,2024,29160
VA,software_developers_15_1252,2024,83290
VT,software_developers_15_1252,2024,
WA,software_developers_15_1252,2024,91470
WI,software_developers_15_1252,2024,22170
WV,software_developers_15_1252,2024,2280
WY,software_developers_15_1252,2024,1020
