state,bls_employment_devs,bls_employment_devs_plus_qa,ours_arshkon,ours_scraped,ours_pooled
AK,430,430,1,0,1
AL,18020,18020,17,0,17
AR,6390,6390,13,0,13
AZ,35650,35650,85,837,922
CA,292630,292630,562,8056,8618
CO,48980,48980,81,989,1070
CT,16490,16490,27,100,127
DC,8250,8250,30,438,468
DE,3850,3850,15,236,251
FL,82610,82610,135,753,888
GA,47350,47350,150,1255,1405
HI,1940,1940,0,0,0
IA,9840,9840,15,0,15
ID,4960,4960,13,0,13
IL,54490,54490,156,1225,1381
IN,12690,12690,31,9,40
KS,15850,15850,17,20,37
KY,7070,7070,14,0,14
LA,3870,3870,4,0,4
MA,54260,54260,115,1733,1848
MD,31940,31940,74,1459,1533
ME,2740,2740,11,0,11
MI,41490,41490,85,697,782
MN,39580,39580,59,690,749
MO,17060,17060,26,10,36
MS,3200,3200,6,0,6
MT,2070,2070,3,0,3
NC,57590,57590,140,1853,1993
ND,1510,1510,3,0,3
NE,8940,8940,11,0,11
NH,8010,8010,17,228,245
NJ,57120,57120,148,1409,1557
NM,4810,4810,11,0,11
NV,4640,4640,19,0,19
NY,104130,104130,235,2681,2916
OH,44280,44280,104,553,657
OK,7150,7150,10,0,10
OR,21100,21100,12,176,188
PA,47350,47350,126,1032,1158
RI,6010,6010,10,80,90
SC,12230,12230,10,28,38
SD,2190,2190,0,0,0
TN,18750,18750,23,252,275
TX,151460,151460,430,4245,4675
UT,29160,29160,17,0,17
VA,83290,83290,215,2067,2282
WA,91470,91470,179,2502,2681
WI,22170,22170,45,7,52
WV,2280,2280,6,4,10
WY,1020,1020,0,0,0
