comparison,text_scope,ngram_n,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b,exclude_aggregators,company_cap,exclude_title_lookup_llm,min_distinct_companies,flag_n_lt_100,retained_terms,top_b_overlap_with_primary,top_b_ai_tool_terms,top_b_ai_domain_terms,top_b_tech_stack_terms,top_b_boilerplate_terms,top_b_noise_terms
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601,True,50,False,20,False,4036,1.0,5,2,7,0,8
aggregators_included_cap50,full_text,1,arshkon_2024,scraped_2026,4646,11005,371217,1145752,2329,4001,False,50,False,20,False,4249,0.98,5,2,7,0,9
no_company_cap_excl_agg,full_text,1,arshkon_2024,scraped_2026,4223,10316,342833,1107734,2266,3601,True,none,False,20,False,4090,0.94,4,2,7,1,8
raw_description_excl_agg_cap50,raw_description,1,arshkon_2024,scraped_2026,4259,27740,578220,5370867,2280,7241,True,50,False,20,False,7992,0.84,4,2,7,2,9
pooled_2024_vs_scraped_llm_excl_agg_cap50,full_text,1,pooled_2024,scraped_2026,17314,9531,1534359,1031242,6234,3601,True,50,False,20,False,5822,0.82,5,3,9,1,7
within_2024_arshkon_vs_asaniczka_excl_agg_cap50,full_text,1,arshkon_2024,asaniczka_2024,4221,13272,342704,1206766,2266,4640,True,50,False,20,False,4391,0.12,0,0,2,0,42
exclude_title_lookup_llm_excl_agg_cap50,full_text,1,arshkon_2024,scraped_2026,3840,9048,308488,977194,2083,3427,True,50,True,20,False,3874,0.96,4,2,7,1,9
