comparison,text_scope,ngram_n,term,category,category_note,z_b_minus_a,log_odds_delta_b_minus_a,direction,count_a,count_b,rate_a_per_10k_terms,rate_b_per_10k_terms,doc_count_a,doc_count_b,doc_prev_a,doc_prev_b,distinct_companies_total,distinct_companies_a,distinct_companies_b,label_a,label_b,n_docs_a,n_docs_b,tokens_a,tokens_b,companies_a,companies_b
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,mentality,noise,uncategorized_or_context_needed,-0.19363566438732005,-0.044681920778320006,arshkon_2024_heavy,25,72,0.7294925066529716,0.6981872344221821,25,70,0.005922767116796968,0.0073444549365229254,83,22,62,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,adhering,noise,uncategorized_or_context_needed,-2.9161785322353406,-0.3600967356386846,arshkon_2024_heavy,96,201,2.8012512255474116,1.949106029428592,94,186,0.0222696043591566,0.019515265974189486,174,74,108,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,streamlining,noise,uncategorized_or_context_needed,1.9665487541762998,0.7864888588628727,scraped_2026_heavy,7,47,0.20425790186283205,0.45576111135892444,7,47,0.001658374792703151,0.004931276885951107,47,7,40,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,particularly,noise,uncategorized_or_context_needed,-1.441571844551979,-0.1371273595924798,arshkon_2024_heavy,151,396,4.406134740183949,3.840029789322002,144,365,0.03411513859275053,0.03829608645472668,397,128,276,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,excellent,noise,uncategorized_or_context_needed,2.874948279899815,0.12113874658209234,scraped_2026_heavy,719,2448,20.980204491339464,23.738365970354195,614,2155,0.14546316038853352,0.22610429126009862,1614,486,1221,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,duration,noise,uncategorized_or_context_needed,-8.362492341024309,-0.8216192728770588,arshkon_2024_heavy,181,238,5.281525748167514,2.307896691562213,172,238,0.040748637763563134,0.024971146784177944,260,125,150,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,backlog,noise,uncategorized_or_context_needed,1.0924435667168138,0.2065209335497702,scraped_2026_heavy,35,130,1.0212895093141603,1.2606158399289402,33,117,0.007818052594171997,0.012275731822474031,126,33,96,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,multi-region,noise,uncategorized_or_context_needed,1.4300934870567372,0.5460113840932959,scraped_2026_heavy,8,42,0.23343760212895093,0.4072758867462729,8,38,0.0018952854773750297,0.003986989822683874,40,8,34,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,next.js,noise,uncategorized_or_context_needed,6.543382708781341,1.2078025436983175,scraped_2026_heavy,31,321,0.9045707082496848,3.112751420132229,20,217,0.004738213693437574,0.02276781030322107,212,20,193,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,production-level,org_scope,,2.4104467556566593,0.8944610083960729,scraped_2026_heavy,8,60,0.23343760212895093,0.5818226953518184,8,58,0.0018952854773750297,0.0060854055188332805,56,8,48,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,fpgas,noise,uncategorized_or_context_needed,1.7427437252749782,0.7546363811946399,scraped_2026_heavy,6,39,0.17507820159671322,0.378184751978682,6,30,0.0014214641080312722,0.0031476235442241107,30,6,24,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,blend,noise,uncategorized_or_context_needed,-0.6291614000244452,-0.16507921238804713,arshkon_2024_heavy,20,51,0.5835940053223774,0.4945492910490457,20,51,0.004738213693437574,0.0053509600251809885,65,20,45,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,formal,noise,uncategorized_or_context_needed,0.35872774381065486,0.04386768471175806,scraped_2026_heavy,87,274,2.538633923152341,2.6569903087733047,76,244,0.018005212035062782,0.025600671493022767,198,55,153,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,definition,noise,uncategorized_or_context_needed,-4.336980659594272,-0.44862973171594156,arshkon_2024_heavy,141,270,4.11433773752276,2.6182021290831834,106,234,0.025112532575219143,0.024551463644948063,250,88,178,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,uplift,noise,uncategorized_or_context_needed,-0.3313622608699833,-0.13685660714705072,arshkon_2024_heavy,8,21,0.23343760212895093,0.20363794337313645,8,20,0.0018952854773750297,0.0020984156961494074,26,7,19,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,exceptionally,noise,uncategorized_or_context_needed,-1.5870384563222093,-0.6046708492924697,arshkon_2024_heavy,11,18,0.3209767029273075,0.17454680860554553,11,17,0.002606017531390666,0.0017836533417269962,23,10,13,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,shifts,noise,uncategorized_or_context_needed,-1.1404685646778363,-0.28414976967203565,arshkon_2024_heavy,23,52,0.671133106120734,0.504246335971576,19,48,0.0045013030087656955,0.005036197670758577,50,14,37,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,days,noise,uncategorized_or_context_needed,-0.4786635951147752,-0.0408101338155733,arshkon_2024_heavy,183,529,5.339885148699752,5.129736764018532,151,428,0.03577351338545368,0.044906095897597316,423,131,298,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,developer-facing,noise,uncategorized_or_context_needed,1.7769148004734896,4.461965232953032,scraped_2026_heavy,0,41,0.0,0.3975788418237426,0,35,0.0,0.0036722274682614627,32,0,32,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,ipsec,noise,uncategorized_or_context_needed,0.29729006573107547,0.12677547500908126,scraped_2026_heavy,7,24,0.20425790186283205,0.23272907814072738,7,23,0.001658374792703151,0.002413178050571818,22,7,15,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,mechanics,noise,uncategorized_or_context_needed,0.47267863368890484,0.1601992285144629,scraped_2026_heavy,11,39,0.3209767029273075,0.378184751978682,11,33,0.002606017531390666,0.003462385898646522,37,10,27,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,lower,noise,uncategorized_or_context_needed,-1.2883121899300827,-0.32298806391427703,arshkon_2024_heavy,23,50,0.671133106120734,0.4848522461265154,23,45,0.00544894574745321,0.004721435316336166,52,21,34,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,regression,noise,uncategorized_or_context_needed,1.0737119128117392,0.10953094700896582,scraped_2026_heavy,123,414,3.58910313273262,4.014576597927547,104,343,0.024638711205875383,0.03598782918896233,323,93,244,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,tangible,noise,uncategorized_or_context_needed,2.2673777844608716,0.8445220080819187,scraped_2026_heavy,8,57,0.23343760212895093,0.5527315605842276,7,55,0.001658374792703151,0.00577064316441087,56,7,50,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,screen,noise,uncategorized_or_context_needed,-3.3837590117339422,-0.7083281716034815,arshkon_2024_heavy,38,56,1.1088286101125169,0.5430345156616972,34,50,0.008054963278843875,0.005246039240373518,69,30,41,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,conversational,noise,uncategorized_or_context_needed,5.250941248954905,1.300960188170583,scraped_2026_heavy,17,194,0.4960549045240207,1.88122671497088,14,132,0.003316749585406302,0.013849543594586088,120,13,107,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,remediation,noise,uncategorized_or_context_needed,3.5747113621662816,0.5360992811423895,scraped_2026_heavy,52,270,1.517344413838181,2.6182021290831834,47,220,0.0111348021795783,0.02308257265764348,170,35,139,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,gitops,noise,uncategorized_or_context_needed,4.978960857550665,1.3547184896926616,scraped_2026_heavy,14,169,0.4085158037256641,1.6388005919076223,12,134,0.0028429282160625444,0.014059385164201028,127,10,117,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,reside,noise,uncategorized_or_context_needed,0.14825490288681484,0.04876770725870294,scraped_2026_heavy,12,38,0.35015640319342645,0.3684877070561517,10,37,0.002369106846718787,0.003882069037876403,39,10,29,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,bugs,noise,uncategorized_or_context_needed,-4.241974122528604,-0.4917645728878348,arshkon_2024_heavy,114,209,3.3264858303375506,2.0266823888088346,108,189,0.0255863539445629,0.019830028328611898,230,89,153,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,cares,noise,uncategorized_or_context_needed,0.8505177782799056,0.415702153940007,scraped_2026_heavy,5,23,0.14589850133059434,0.22303203321819706,5,22,0.0011845534233593934,0.002308257265764348,23,4,19,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,cooperation,noise,uncategorized_or_context_needed,-3.054677260561069,-0.988572217326503,arshkon_2024_heavy,18,20,0.5252346047901396,0.19394089845060616,18,17,0.0042643923240938165,0.0017836533417269962,32,18,14,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,cross-domain,noise,uncategorized_or_context_needed,1.7682606825465532,0.9252839732237987,scraped_2026_heavy,4,31,0.11671880106447546,0.3006083925984395,3,29,0.0007107320540156361,0.0030427027594166402,30,3,27,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,auditable,noise,uncategorized_or_context_needed,3.3474607348709156,2.976304197859875,scraped_2026_heavy,1,75,0.029179700266118866,0.7272783691897732,1,70,0.00023691068467187872,0.0073444549365229254,67,1,66,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,extracting,noise,uncategorized_or_context_needed,-1.696168217206385,-0.5475077039395142,arshkon_2024_heavy,15,26,0.43769550399178303,0.252123167985788,13,26,0.003079838900734423,0.0027279404049942294,38,12,26,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,regards,noise,uncategorized_or_context_needed,-5.001892961176103,-1.8244508054753918,arshkon_2024_heavy,23,11,0.671133106120734,0.10666749414783339,23,10,0.00544894574745321,0.0010492078480747037,26,19,7,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,founder,noise,uncategorized_or_context_needed,3.205324416960986,2.1855371971793947,scraped_2026_heavy,2,59,0.05835940053223773,0.5721256504292882,2,52,0.00047382136934375743,0.005455880809988459,44,1,43,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,summarize,noise,uncategorized_or_context_needed,-0.3553575092955496,-0.15735208316596427,arshkon_2024_heavy,7,18,0.20425790186283205,0.17454680860554553,7,16,0.001658374792703151,0.0016787325569195257,21,5,16,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,upgrade,noise,uncategorized_or_context_needed,-3.2851589087237647,-0.5284659231886053,arshkon_2024_heavy,60,106,1.7507820159671321,1.0278867617882126,52,96,0.012319355602937692,0.010072395341517154,125,46,81,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,high-stakes,noise,uncategorized_or_context_needed,3.905649121907473,1.9192574600923606,scraped_2026_heavy,4,88,0.11671880106447546,0.8533399531826671,4,80,0.0009476427386875149,0.00839366278459763,67,4,64,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,transactions,noise,uncategorized_or_context_needed,2.113418441593431,0.42871806899318265,scraped_2026_heavy,29,135,0.8462113077174471,1.3091010645415917,26,117,0.006159677801468846,0.012275731822474031,113,23,93,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,considering,noise,uncategorized_or_context_needed,-2.841347453159936,-0.5411721568278853,arshkon_2024_heavy,43,75,1.254727111443111,0.7272783691897732,43,75,0.010187159440890783,0.007869058860560278,99,40,60,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,contributor,noise,uncategorized_or_context_needed,4.627205368532868,0.5617192528891852,scraped_2026_heavy,79,421,2.3051963210233906,4.082455912385259,77,390,0.01824212271973466,0.04091910607491344,326,69,267,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,engaged,noise,uncategorized_or_context_needed,-1.7710400477394102,-0.4248055144625127,arshkon_2024_heavy,26,51,0.7586722069190905,0.4945492910490457,24,51,0.005685856432125089,0.0053509600251809885,59,18,42,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,helpful,noise,uncategorized_or_context_needed,-1.3829111129004865,-0.30803162119126526,arshkon_2024_heavy,29,64,0.8462113077174471,0.6206108750419397,27,59,0.006396588486140725,0.006190326303640751,77,27,51,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,rxjs,noise,uncategorized_or_context_needed,-1.196275350250974,-0.33035766968840186,arshkon_2024_heavy,19,41,0.5544143050562584,0.3975788418237426,15,33,0.0035536602700781805,0.003462385898646522,40,12,29,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,cross-functional,org_scope,,2.57992669804271,0.10290077739312764,scraped_2026_heavy,806,2694,23.518838414491807,26.12383902129665,657,2183,0.15565031982942432,0.2290420732347078,1654,508,1232,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,clarify,noise,uncategorized_or_context_needed,0.9593341268350414,0.2515821086288028,scraped_2026_heavy,18,70,0.5252346047901396,0.6787931445771216,18,67,0.0042643923240938165,0.007029692582100514,80,17,64,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,haves,noise,uncategorized_or_context_needed,-2.001962165873504,-0.31572994029295387,arshkon_2024_heavy,58,127,1.6924226154348943,1.2315247051613492,55,113,0.013030087656953328,0.011856048683244151,115,46,73,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,overtime,noise,uncategorized_or_context_needed,0.14169547919303438,0.04480540444265024,scraped_2026_heavy,13,41,0.37933610345954527,0.3975788418237426,13,40,0.003079838900734423,0.004196831392298815,42,11,32,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,regular,noise,uncategorized_or_context_needed,-2.7562160765538293,-0.28796501352497295,arshkon_2024_heavy,131,295,3.8225407348615716,2.860628252146441,121,276,0.028666192845297322,0.02895813660686182,314,106,217,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,nice-to-have,noise,uncategorized_or_context_needed,2.1625586873712277,0.5655900091157822,scraped_2026_heavy,17,91,0.4960549045240207,0.882431087950258,17,89,0.0040274816394219376,0.009337949847864862,83,14,71,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,fda,noise,uncategorized_or_context_needed,-1.4562213367154437,-0.3140294918616924,arshkon_2024_heavy,31,68,0.9045707082496848,0.659399054732061,25,57,0.005922767116796968,0.005980484734025811,60,24,38,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,presenting,noise,uncategorized_or_context_needed,-2.351947721568084,-0.40549662932697217,arshkon_2024_heavy,50,100,1.4589850133059432,0.9697044922530308,48,97,0.011371712864250177,0.010177316126324625,128,41,88,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,baselines,noise,uncategorized_or_context_needed,3.999737485837267,1.9603562206285048,scraped_2026_heavy,4,92,0.11671880106447546,0.8921281328727882,4,75,0.0009476427386875149,0.007869058860560278,67,4,63,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,fpga,noise,uncategorized_or_context_needed,3.9857201589591256,1.1021423634133694,scraped_2026_heavy,14,130,0.4085158037256641,1.2606158399289402,9,81,0.0021321961620469083,0.0084985835694051,71,9,62,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,transition,noise,uncategorized_or_context_needed,0.6773570776412586,0.09825020095703962,scraped_2026_heavy,61,203,1.779961716233251,1.9685001192736524,54,176,0.01279317697228145,0.018466058126114782,192,50,148,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,correction,noise,uncategorized_or_context_needed,1.1843143712513438,0.6341191162682485,scraped_2026_heavy,4,23,0.11671880106447546,0.22303203321819706,4,17,0.0009476427386875149,0.0017836533417269962,21,4,17,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,exp,noise,uncategorized_or_context_needed,-9.006925908341907,-1.4251588662716532,arshkon_2024_heavy,95,68,2.7720715252812926,0.659399054732061,72,38,0.017057569296375266,0.003986989822683874,96,66,30,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,away,noise,uncategorized_or_context_needed,-0.10098396443385614,-0.0350753182977499,arshkon_2024_heavy,11,32,0.3209767029273075,0.31030543752096984,10,31,0.002369106846718787,0.003252544329031581,33,10,24,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,created,noise,uncategorized_or_context_needed,-0.17092821958518145,-0.05275616776899206,arshkon_2024_heavy,14,40,0.4085158037256641,0.38788179690121233,14,39,0.003316749585406302,0.004091910607491344,47,12,36,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
primary_arshkon_vs_scraped_llm_excl_agg_cap50,full_text,1,mssql,tech_stack,,-3.0958237692853183,-0.8176185136021825,arshkon_2024_heavy,25,33,0.7294925066529716,0.32000248244350016,24,27,0.005685856432125089,0.0028328611898017,43,19,24,arshkon_2024,scraped_2026,4221,9531,342704,1031242,2266,3601
