projected_archetype,n_2024,n_2026,share_2024,share_2026,delta_pp,se_pp,snr
generic_software_engineer,3366,1915,0.0032679738562091504,0.03342036553524804,3.0152391679038892,0.42233096365041634,7.139517173549576
systems_engineering,2377,418,0.0008413967185527977,0.0023923444976076554,0.1550947779054858,0.2462376179028026,0.6298581801855571
data_engineering,1662,1151,0.006016847172081829,0.05994787141615986,5.393102424407804,0.724979130284795,7.438976101683397
cloud_devops,1645,1357,0.0060790273556231,0.06411201179071481,5.803298443509171,0.6920216592210141,8.386006949611595
frontend_react,1471,830,0.007477906186267845,0.09397590361445783,8.649799742818999,1.0374449040003548,8.337599143304521
java_spring_backend,1430,604,0.002797202797202797,0.059602649006622516,5.680544620941972,0.9733905401545506,5.835832984405252
customer_project_engineer,1272,385,0.0015723270440251573,0.03636363636363636,3.4791309319611203,0.9604716768258461,3.6223149686817475
dotnet_web_sql,1157,164,0.005185825410544511,0.06097560975609756,5.578978434555305,1.8804002280732022,2.966910103107114
network_security_linux,1099,435,0.0,0.020689655172413793,2.0689655172413794,0.6824835199266746,3.0315245084066897
aws_cloud_services,1075,348,0.0009302325581395349,0.06609195402298851,6.516172146484897,1.33503479720446,4.880900602837956
backend_platform,754,869,0.006631299734748011,0.10817031070195628,10.153901096720826,1.094296955679763,9.278926569263236
technology_leadership,703,308,0.001422475106685633,0.1038961038961039,10.247362878941827,1.7444162783902637,5.874379301480738
test_engineering,637,238,0.0,0.012605042016806723,1.2605042016806722,0.7231512194846039,1.7430713904887616
ai_ml_engineering,556,2014,0.18525179856115107,0.44885799404170806,26.3606195480557,1.9856879802943526,13.275308008939087
mobile_android_ios,556,433,0.0017985611510791368,0.06928406466512702,6.748550351404788,1.2335002662139676,5.471057069260623
azure_dotnet_web,493,187,0.012170385395537525,0.12299465240641712,11.08242670108796,2.451967868110309,4.519809107298376
python_backend_developer,460,232,0.006521739130434782,0.15086206896551724,14.434032983508246,2.379605141457466,6.0657260870884055
qa_test_automation,397,176,0.0,0.07954545454545454,7.954545454545454,2.039635317317384,3.8999841721742756
angular_frontend,273,128,0.003663003663003663,0.125,12.133699633699633,2.9459474445965346,4.11877667945343
golang_cloud,140,57,0.0,0.0,0.0,0.0,
recommendation_ecommerce,67,157,0.029850746268656716,0.12101910828025478,9.116836201159806,3.3313242576459743,2.7367003317779908
internship_new_grad,56,50,0.0,0.08,8.0,3.836665218650176,2.085144140570747
