projected_archetype,n_2024,n_2026,p_2024,p_2026,pi_2024,pi_2026,within,between,interaction,delta_pi
ai_ml_engineering,556,2014,0.025686038991037604,0.16168914579319205,0.02158273381294964,0.04369414101290963,0.0005679544674848819,0.00293531885184506,0.003007220074962085,0.02211140719995999
angular_frontend,273,128,0.012612029936246882,0.010276172125883108,0.007326007326007326,0.0078125,6.1356601681604e-06,-1.7112511431236443e-05,-1.136377712230545e-06,0.000486492673992674
aws_cloud_services,1075,348,0.049662755243462996,0.027938342967244702,0.009302325581395349,0.040229885057471264,0.0015359478165380028,-0.0002020875560578446,-0.000671883052755535,0.030927559476075915
azure_dotnet_web,493,187,0.0227755705442114,0.015012845215157354,0.012170385395537525,0.03208556149732621,0.0004535794982066811,-9.447535897428859e-05,-0.0001545960419579268,0.01991517610178868
backend_platform,754,869,0.03483322553820567,0.06976557482337829,0.014588859416445624,0.04142692750287687,0.0009348564786643794,0.0005096231328075582,0.0009375167685344607,0.026838068086431244
cloud_devops,1645,1357,0.07599556500046198,0.10894348105330764,0.009726443768996961,0.023581429624170966,0.0010529174781373574,0.00032046605279363566,0.0004564929108696372,0.013854985855174005
customer_project_engineer,1272,385,0.05876374387877668,0.030908798972382787,0.025943396226415096,0.033766233766233764,0.00045969922159518365,-0.0007226518725715396,-0.00021790470868331892,0.007822837539818668
data_engineering,1662,1151,0.0767809295019865,0.09240526653821451,0.021660649819494584,0.03909643788010426,0.0013387360138932495,0.00033843329320349476,0.0002724226291512059,0.017435788060609674
dotnet_web_sql,1157,164,0.0534509840155225,0.013166345536287732,0.016421780466724288,0.06707317073170732,0.0027073666514176,-0.0006615454892873471,-0.0020404729452954727,0.05065139026498303
frontend_react,1471,830,0.06795712833779913,0.06663455362877328,0.01563562202583277,0.05542168674698795,0.002703746706311525,-2.0679278251253865e-05,-5.262004297186525e-05,0.03978606472115518
generic_software_engineer,3366,1915,0.15550217130185714,0.1537411689145793,0.029708853238265002,0.0762402088772846,0.007235726835486462,-5.231736147587143e-05,-8.194182836358734e-05,0.0465313556390196
golang_cloud,140,57,0.006467707659613785,0.004576107899807322,0.0,0.03508771929824561,0.00022693711086364156,-0.0,-6.6371921396718e-05,0.03508771929824561
internship_new_grad,56,50,0.0025870830638455144,0.00401412973667309,0.5892857142857143,0.9,0.0008038436662662848,0.0008409382179162498,0.00044340378762856804,0.3107142857142857
java_spring_backend,1430,604,0.06606301395176938,0.04849068721901092,0.024475524475524476,0.033112582781456956,0.000570590103367063,-0.0004300919130395427,-0.0001517732105617308,0.00863705830593248
mobile_android_ios,556,433,0.025686038991037604,0.03476236351958895,0.023381294964028777,0.03926096997690531,0.00040788595154575227,0.00021221622099130852,0.00014412908382479525,0.015879675012876536
network_security_linux,1099,435,0.050771505127968214,0.034922928709055875,0.017288444040036398,0.041379310344827586,0.0012231295421309026,-0.0002739972265326064,-0.00038180593562928345,0.024090866304791188
python_backend_developer,460,232,0.021251039453016724,0.018625561978163133,0.02608695652173913,0.03017241379310345,8.682021365737723e-05,-6.849071673531108e-05,-1.0726276040443841e-05,0.004085457271364321
qa_test_automation,397,176,0.01834057100619052,0.014129736673089274,0.0025188916876574307,0.03409090909090909,0.0005790488269930198,-1.060663559975125e-05,-0.00013294453484688214,0.031572017403251655
recommendation_ecommerce,67,157,0.0030952600942437403,0.012604367373153501,0.05970149253731343,0.45222929936305734,0.0012149756563487406,0.000567707897248344,0.003732589025061166,0.3925278068257439
systems_engineering,2377,418,0.1098124364778712,0.03355812459858703,0.007993268826251577,0.03110047846889952,0.0025374589910641303,-0.0006095212140119474,-0.0017620243707504788,0.023107209642647945
technology_leadership,703,308,0.03247713203363208,0.02472703917790623,0.001422475106685633,0.006493506493506494,0.00016469255589647352,-1.1024314161772194e-05,-3.9300964122161914e-05,0.005071031386820861
test_engineering,637,238,0.029428069851242723,0.019107257546563904,0.0141287284144427,0.0546218487394958,0.001191634373420439,-0.00014581995406924548,-0.00041792189450564796,0.040493120325053096
_TOTAL,21646,12456,1.0000000000000002,1.0,0.01912593550771505,0.052344251766217084,0.028003683819457302,0.0024042822646060925,0.002810350174438634,0.03321831625850204
