projected_archetype,n_2024,n_2026,share_2024,share_2026,delta_pp,se_pp,snr
generic_software_engineer,2103,889,0.17356157869709937,0.25646794150731156,8.290636281021218,1.681392851971281,4.930814515656586
systems_engineering,1548,195,0.09883720930232558,0.17435897435897435,7.552176505664877,2.820963473740281,2.677162102936249
data_engineering,963,602,0.1786085150571132,0.3073089700996678,12.87004550425546,2.249331410099718,5.721720439446004
cloud_devops,925,649,0.1837837837837838,0.3204930662557781,13.670928247199432,2.230982388957849,6.127761615180425
frontend_react,862,387,0.20649651972157773,0.34366925064599485,13.717273092441712,2.7801654717216002,4.933977215373218
aws_cloud_services,802,200,0.2830423940149626,0.255,-2.804239401496261,3.4682908954881797,0.808536390400307
java_spring_backend,785,276,0.13630573248407643,0.2572463768115942,12.094064432751775,2.9021631668510013,4.167258605888264
technology_leadership,618,284,0.3818770226537217,0.426056338028169,4.41793153744473,3.5255954977616715,1.253102217837975
customer_project_engineer,596,146,0.15604026845637584,0.23972602739726026,8.368575894088442,3.8331423074220106,2.183215550824866
network_security_linux,582,202,0.1254295532646048,0.21287128712871287,8.744173386410806,3.1905695250548183,2.74063088666296
dotnet_web_sql,575,77,0.14782608695652175,0.3246753246753247,17.684923771880293,5.537719040117619,3.1935393695063072
backend_platform,482,570,0.36721991701244816,0.45263157894736844,8.541166193492028,3.027795156615288,2.82091943202658
test_engineering,382,92,0.17539267015706805,0.29347826086956524,11.80855907124972,5.130695635675239,2.301551272919276
ai_ml_engineering,327,1009,0.19571865443425077,0.3676907829534192,17.197212851916845,2.66796811834752,6.445808978620185
mobile_android_ios,324,204,0.31790123456790126,0.46568627450980393,14.778503994190267,4.346237284534241,3.4002984712267006
azure_dotnet_web,290,105,0.1724137931034483,0.37142857142857144,19.901477832512317,5.2110872876010985,3.819064378342792
python_backend_developer,205,90,0.14146341463414633,0.24444444444444444,10.29810298102981,5.14254083546368,2.0025320771422277
qa_test_automation,203,53,0.13793103448275862,0.39622641509433965,25.829538061158104,7.1411045533923065,3.6170228104121587
angular_frontend,134,57,0.16417910447761194,0.3157894736842105,15.161036920659857,6.938805495395493,2.1849635258864852
golang_cloud,87,36,0.12643678160919541,0.25,12.356321839080458,8.048527543391064,1.535227626726168
recommendation_ecommerce,20,41,0.25,0.1951219512195122,-5.48780487804878,11.491506676691252,0.47755312096541225
internship_new_grad,10,0,0.0,,,,
