projected_archetype,n_2024,n_2026,share_2024,share_2026,delta_pp,se_pp,snr
generic_software_engineer,3366,1915,0.0451574569221628,0.17806788511749347,13.291042819533066,0.944658613775128,14.069678321587762
systems_engineering,2377,418,0.016407236011779555,0.06698564593301436,5.05784099212348,1.2502293966928582,4.04553036866884
data_engineering,1662,1151,0.12154031287605295,0.37011294526498695,24.857263238893403,1.6333581477084353,15.21850138854579
cloud_devops,1645,1357,0.044984802431610946,0.2675018422991894,22.251703986757843,1.3058010903847903,17.040653550228516
frontend_react,1471,830,0.05166553365057784,0.3373493975903614,28.568386393978358,1.739652712749137,16.421890521374426
java_spring_backend,1430,604,0.016783216783216783,0.19039735099337748,17.36141342101607,1.6332436398184418,10.630020529543307
customer_project_engineer,1272,385,0.020440251572327043,0.10909090909090909,8.865065751858205,1.6376284410592978,5.4133560028573084
dotnet_web_sql,1157,164,0.01901469317199654,0.18292682926829268,16.391213609629613,3.045474548052249,5.38215419337939
network_security_linux,1099,435,0.018198362147406732,0.15862068965517243,14.04223275077657,1.7973943713074272,7.812549641268895
aws_cloud_services,1075,348,0.04,0.2557471264367816,21.574712643678158,2.4138692735999405,8.93781319462365
backend_platform,754,869,0.11936339522546419,0.4234752589182969,30.41118636928327,2.0502658784452836,14.832801291286216
technology_leadership,703,308,0.06116642958748222,0.2922077922077922,23.104136262031,2.7444253772095197,8.418569677242546
test_engineering,637,238,0.018838304552590265,0.10084033613445378,8.200203158186351,2.0248192884246365,4.049844450349111
ai_ml_engineering,556,2014,0.9316546762589928,0.9860973187686196,5.444264250962682,1.101494730911324,4.942614883376118
mobile_android_ios,556,433,0.03237410071942446,0.2632794457274827,23.090534500805823,2.2456494304375934,10.282341574707116
azure_dotnet_web,493,187,0.060851926977687626,0.3048128342245989,24.39609072469113,3.534241712488829,6.902779353908789
python_backend_developer,460,232,0.09782608695652174,0.43103448275862066,33.32083958020989,3.53404349609432,9.428531260872912
qa_test_automation,397,176,0.012594458438287154,0.20454545454545456,19.19509961071674,3.0915916823336955,6.208808142551112
angular_frontend,273,128,0.014652014652014652,0.2421875,22.753548534798533,3.8558181217666667,5.90109486916703
golang_cloud,140,57,0.03571428571428571,0.14035087719298245,10.463659147869674,4.86076324094667,2.1526782172241323
recommendation_ecommerce,67,157,0.23880597014925373,0.5286624203821656,28.985645023291184,6.557609067503928,4.420154468635351
internship_new_grad,56,50,0.03571428571428571,0.36,32.42857142857143,7.2270174581986355,4.487130633921893
