projected_archetype,2024,2026,total,share_2024,share_2026,delta_share_pp
generic_software_engineer,3366,1915,5281,0.15550217130185714,0.1537411689145793,-0.17610023872778324
cloud_devops,1645,1357,3002,0.07599556500046198,0.10894348105330764,3.2947916052845665
data_engineering,1662,1151,2813,0.0767809295019865,0.09240526653821451,1.5624337036228009
systems_engineering,2377,418,2795,0.1098124364778712,0.03355812459858703,-7.625431187928417
ai_ml_engineering,556,2014,2570,0.025686038991037604,0.16168914579319205,13.600310680215443
frontend_react,1471,830,2301,0.06795712833779913,0.06663455362877328,-0.1322574709025845
java_spring_backend,1430,604,2034,0.06606301395176938,0.04849068721901092,-1.7572326732758456
customer_project_engineer,1272,385,1657,0.05876374387877668,0.030908798972382787,-2.785494490639389
backend_platform,754,869,1623,0.03483322553820567,0.06976557482337829,3.4932349285172624
network_security_linux,1099,435,1534,0.050771505127968214,0.034922928709055875,-1.584857641891234
aws_cloud_services,1075,348,1423,0.049662755243462996,0.027938342967244702,-2.1724412276218295
dotnet_web_sql,1157,164,1321,0.0534509840155225,0.013166345536287732,-4.028463847923477
technology_leadership,703,308,1011,0.03247713203363208,0.02472703917790623,-0.7750092855725852
mobile_android_ios,556,433,989,0.025686038991037604,0.03476236351958895,0.9076324528551348
test_engineering,637,238,875,0.029428069851242723,0.019107257546563904,-1.032081230467882
python_backend_developer,460,232,692,0.021251039453016724,0.018625561978163133,-0.26254774748535914
azure_dotnet_web,493,187,680,0.0227755705442114,0.015012845215157354,-0.7762725329054045
qa_test_automation,397,176,573,0.01834057100619052,0.014129736673089274,-0.42108343331012466
angular_frontend,273,128,401,0.012612029936246882,0.010276172125883108,-0.23358578103637745
recommendation_ecommerce,67,157,224,0.0030952600942437403,0.012604367373153501,0.9509107278909761
golang_cloud,140,57,197,0.006467707659613785,0.004576107899807322,-0.18915997598064632
internship_new_grad,56,50,106,0.0025870830638455144,0.00401412973667309,0.14270466728275752
