projected_archetype,n_2024,n_2026,p_2024,p_2026,pi_2024,pi_2026,within,between,interaction,delta_pi
ai_ml_engineering,313,1323,0.02089034238803978,0.15664219748993607,0.1501597444089457,0.18065003779289493,0.0006369526683024835,0.020384463865140978,0.004139113889472184,0.030490293383949235
angular_frontend,172,77,0.011479676967229527,0.009116741652853422,0.09883720930232558,0.05194805194805195,-0.0005382723796926559,-0.00023354593223484757,0.0001107960457737512,-0.046889157354273625
aws_cloud_services,748,294,0.04992324634585864,0.03480937721998579,0.08021390374331551,0.18027210884353742,0.0049952304221428274,-0.0012123424432518327,-0.0015122666168544971,0.10005820510022191
azure_dotnet_web,312,126,0.02082360008009077,0.014918304522851054,0.11858974358974358,0.09523809523809523,-0.0004862653864856361,-0.0007003074859547097,0.0001378983852652131,-0.023351648351648352
backend_platform,476,597,0.03176933858372823,0.07068434762017523,0.10504201680672269,0.1423785594639866,0.0011861572652244288,0.004087711033240231,0.0014529518948971133,0.037336542657263896
cloud_devops,1101,950,0.07348328105185878,0.11247928013260715,0.08900999091734786,0.11789473684210526,0.0021225459029004805,0.003471033523990318,0.0011263895255294897,0.0288847459247574
customer_project_engineer,887,263,0.059200427150770875,0.031139000710395454,0.16459977452085683,0.17490494296577946,0.0006100703738000649,-0.004618904464819404,-0.00028917772627287436,0.01030516844492263
data_engineering,1146,783,0.07648668490956417,0.09270660667771727,0.11343804537521815,0.12899106002554278,0.0011895985309532155,0.0018399562215182393,0.00025226868088720447,0.015553014650324631
dotnet_web_sql,715,112,0.04772075018354135,0.013260715131423158,0.09230769230769231,0.10714285714285714,0.000707945195030558,-0.003180926312503218,-0.000511220300223731,0.014835164835164824
frontend_react,918,525,0.06126943869719015,0.062159602178546054,0.10457516339869281,0.17523809523809525,0.004329478170497994,9.30889915143431e-05,6.290156140897756e-05,0.07066293183940243
generic_software_engineer,2540,1353,0.16952546219048253,0.16019417475728157,0.12874015748031495,0.270509977827051,0.024033594318942104,-0.0012013114136443766,-0.001322894943008657,0.14176982034673605
golang_cloud,81,42,0.005406126943869719,0.0049727681742836845,0.06172839506172839,0.16666666666666666,0.0005673096175665755,-2.6750541332471273e-05,-4.547592026520117e-05,0.10493827160493827
internship_new_grad,21,4,0.0014015884669291863,0.0004735969689793985,0.42857142857142855,0.0,-0.0006006807715410799,-0.0003977106419784805,0.0003977106419784805,-0.42857142857142855
java_spring_backend,950,374,0.06340519255155844,0.04428131659957376,0.12,0.11229946524064172,-0.0004882538891670804,-0.002294865114238161,0.0001472640715019139,-0.00770053475935828
mobile_android_ios,324,288,0.021624507775478877,0.03409898176651669,0.13271604938271606,0.19791666666666666,0.0014099312554228121,0.0016555629062179815,0.0008133434045082523,0.0652006172839506
network_security_linux,773,304,0.05159180404458386,0.03599336964243429,0.08926261319534282,0.1611842105263158,0.0037105649560730237,-0.0013923570164920058,-0.0011218643180649977,0.07192159733097298
python_backend_developer,279,125,0.018621103917773475,0.014799905280606204,0.1111111111111111,0.112,1.6552092371354357e-05,-0.00042457762635191905,-3.3966210108153853e-06,0.0008888888888888974
qa_test_automation,266,117,0.017753453914436362,0.013852711342647407,0.13909774436090225,0.26495726495726496,0.0022344411986005798,-0.0005425844930683885,-0.0004909455900551808,0.1258595205963627
recommendation_ecommerce,34,68,0.002269238470266302,0.008051148472649775,0.17647058823529413,0.3235294117647059,0.0003337115397450444,0.0010203370592441424,0.0008502808827034519,0.14705882352941177
systems_engineering,1950,303,0.1301475005005673,0.035874970400189436,0.09333333333333334,0.2079207920792079,0.014913271344487448,-0.008798769476035268,-0.010802449653746268,0.11458745874587457
technology_leadership,510,245,0.034038577053994525,0.02900781434998816,0.0803921568627451,0.044897959183673466,-0.0012081719826687936,-0.00040443386443972737,0.00017856288589250286,-0.03549419767907164
test_engineering,467,173,0.031168657812187146,0.020483068908358985,0.15417558886509636,0.1791907514450867,0.0007796890425719476,-0.0016474569616180463,-0.00026730174369220223,0.02501516257999034
_TOTAL,14983,8446,1.0,0.9999999999999999,0.11232730427818194,0.1715605020127871,0.0604553994850777,0.0054753098129033725,-0.006697511563375891,0.05923319773460517
