category,sample_size,true_positive,borderline,false_positive,fp_rate_pct,true_negative,false_negative,fn_rate_pct
Borderline SWE (embedding_llm),50,33.0,4,13.0,26.0,,,
Borderline non-SWE (SWE-like titles),50,,10,,,34.0,6.0,12.0
