title_normalized,n
network engineer,937
quality engineer,863
data analyst,595
architect,535
solutions architect,197
data architect,157
enterprise architect,118
solution architect,103
cloud architect,72
. quality engineer,70
"manager, data engineering",70
system analyst,62
application analyst,55
technical architect,43
qa manager,38
"manager, platform engineering",36
cloud security analyst,35
systems administrator with security clearance,30
. data analyst,30
qa analyst,29
cloud security engineer,26
engineer - solutions architect,26
systems architect,26
analytics engineer,25
infrastructure architect,21
infrastructure analyst,21
qa specialist,21
system architect,21
infrastructure project manager,20
infrastructure manager,20
