variant,arshkon_entry_share,scraped_entry_share,pp_change,pct_change,arshkon_entry_n,scraped_entry_n,arshkon_known_n,scraped_known_n
A_patched,20.97,13.91,-7.06,-33.7,745.0,549.0,3553.0,3948.0
B_final,4.42,5.65,1.23,27.8,89.0,132.0,2015.0,2336.0
C_native_only,22.91,15.49,-7.42,-32.4,710.0,545.0,3099.0,3519.0
D_high_confidence,21.45,14.2,-7.25,-33.8,745.0,548.0,3473.0,3858.0
E_all_nonunknown,20.97,13.91,-7.06,-33.7,745.0,549.0,3553.0,3948.0
