variant,asaniczka_entry_pct,arshkon_entry_pct,scraped_entry_pct,arshkon_to_scraped_pp,arshkon_to_scraped_pct_change,arshkon_entry_n,scraped_entry_n,arshkon_known_n,scraped_known_n,direction
A: Patched (primary),0.56,20.97,13.91,-7.06,-33.7,745,549,3553,3948,decreasing
B: seniority_final (broken),0.81,4.42,5.65,1.23,27.8,89,132,2015,2336,increasing
C: Native only,0.0,22.91,15.49,-7.42,-32.4,710,545,3099,3519,decreasing
D: High-confidence (title+native),0.56,21.45,14.2,-7.25,-33.8,745,548,3473,3858,decreasing
F: Title-strong only,0.88,5.06,6.67,1.61,31.8,87,130,1720,1950,increasing
