source,company_name_canonical,seniority_final,n
kaggle_arshkon,Actalent,mid-senior,4
scraped,Actalent,entry,1
scraped,Actalent,mid-senior,9
kaggle_arshkon,Aditi Consulting,mid-senior,2
kaggle_arshkon,Adobe,entry,2
kaggle_arshkon,Adobe,mid-senior,6
scraped,Adobe,mid-senior,8
kaggle_arshkon,Akkodis,entry,1
kaggle_arshkon,Akkodis,mid-senior,6
scraped,Akkodis,mid-senior,3
kaggle_arshkon,Amazon,associate,5
kaggle_arshkon,Amazon,mid-senior,15
scraped,Amazon,associate,3
scraped,Amazon,entry,3
scraped,Amazon,mid-senior,13
kaggle_arshkon,Amazon Web Services (AWS),mid-senior,5
scraped,Amazon Web Services (AWS),mid-senior,23
kaggle_arshkon,Anduril Industries,mid-senior,2
scraped,Anduril Industries,mid-senior,22
kaggle_arshkon,Apex Systems,entry,2
kaggle_arshkon,Apex Systems,mid-senior,18
scraped,Apex Systems,director,1
scraped,Apex Systems,mid-senior,2
kaggle_arshkon,"BAE Systems, Inc.",entry,1
kaggle_arshkon,"BAE Systems, Inc.",mid-senior,6
scraped,"BAE Systems, Inc.",mid-senior,10
kaggle_arshkon,BLUE ORIGIN,mid-senior,6
scraped,BLUE ORIGIN,mid-senior,19
kaggle_arshkon,Boeing,associate,2
kaggle_arshkon,Boeing,entry,1
kaggle_arshkon,Boeing,mid-senior,4
scraped,Boeing,associate,2
scraped,Boeing,mid-senior,5
kaggle_arshkon,Booz Allen Hamilton,mid-senior,4
scraped,Booz Allen Hamilton,mid-senior,20
kaggle_arshkon,Brooksource,mid-senior,2
scraped,Brooksource,entry,2
kaggle_arshkon,CGI,entry,1
scraped,CGI,entry,1
scraped,CGI,mid-senior,4
kaggle_arshkon,Capital One,mid-senior,100
scraped,Capital One,mid-senior,46
kaggle_arshkon,Cisco,mid-senior,3
scraped,Cisco,associate,2
scraped,Cisco,entry,1
kaggle_arshkon,Cloudflare,mid-senior,2
scraped,Cloudflare,mid-senior,5
kaggle_arshkon,Deloitte,mid-senior,4
scraped,Deloitte,mid-senior,16
scraped,General Dynamics Mission Systems,entry,2
scraped,General Dynamics Mission Systems,mid-senior,1
kaggle_arshkon,General Motors,entry,1
kaggle_arshkon,General Motors,mid-senior,9
scraped,General Motors,entry,1
scraped,General Motors,mid-senior,32
kaggle_arshkon,Google,mid-senior,13
scraped,Google,mid-senior,54
kaggle_arshkon,Insight Global,entry,1
kaggle_arshkon,Insight Global,mid-senior,4
scraped,Insight Global,mid-senior,2
kaggle_arshkon,JPMorgan Chase & Co.,mid-senior,5
scraped,JPMorgan Chase & Co.,associate,1
scraped,JPMorgan Chase & Co.,director,1
scraped,JPMorgan Chase & Co.,mid-senior,55
kaggle_arshkon,Jobot,mid-senior,5
scraped,Jobot,mid-senior,8
kaggle_arshkon,Leidos,mid-senior,1
scraped,Leidos,entry,3
scraped,Leidos,mid-senior,6
kaggle_arshkon,Microsoft,associate,1
kaggle_arshkon,Microsoft,mid-senior,13
scraped,Microsoft,entry,1
scraped,Microsoft,mid-senior,15
kaggle_arshkon,Motion Recruitment,mid-senior,21
scraped,Motion Recruitment,mid-senior,4
kaggle_arshkon,Northrop Grumman,mid-senior,12
scraped,Northrop Grumman,mid-senior,13
kaggle_arshkon,Oracle,mid-senior,13
scraped,Oracle,mid-senior,15
kaggle_arshkon,Palo Alto Networks,mid-senior,7
scraped,Palo Alto Networks,mid-senior,5
kaggle_arshkon,Piper Companies,mid-senior,3
scraped,Piper Companies,mid-senior,4
kaggle_arshkon,Qualcomm,mid-senior,1
scraped,Qualcomm,mid-senior,10
kaggle_arshkon,Randstad Digital Americas,mid-senior,1
scraped,Randstad Digital Americas,mid-senior,3
kaggle_arshkon,TEKsystems,mid-senior,2
scraped,TEKsystems,mid-senior,7
kaggle_arshkon,Talent Groups,mid-senior,2
scraped,Talent Groups,mid-senior,1
kaggle_arshkon,Tata Consultancy Services,mid-senior,3
kaggle_arshkon,The Walt Disney Company,mid-senior,5
scraped,The Walt Disney Company,mid-senior,10
kaggle_arshkon,TikTok,entry,1
kaggle_arshkon,TikTok,mid-senior,4
scraped,TikTok,entry,4
scraped,TikTok,mid-senior,1
kaggle_arshkon,Uber,mid-senior,8
scraped,Uber,associate,1
scraped,Uber,mid-senior,7
kaggle_arshkon,Viasat,entry,2
kaggle_arshkon,Viasat,mid-senior,1
scraped,Viasat,mid-senior,2
kaggle_arshkon,Wells Fargo,mid-senior,13
scraped,Wells Fargo,mid-senior,6
kaggle_arshkon,hackajob,mid-senior,3
scraped,hackajob,director,1
scraped,hackajob,mid-senior,15
kaggle_arshkon,myGwork - LGBTQ+ Business Community,director,1
kaggle_arshkon,myGwork - LGBTQ+ Business Community,entry,1
kaggle_arshkon,myGwork - LGBTQ+ Business Community,mid-senior,18
scraped,myGwork - LGBTQ+ Business Community,mid-senior,7
