,n_companies,n_postings,HHI,top1_share,top5_share,top10_share,top20_share,gini,top1_company,top1_count
kaggle_arshkon,2105,4398,0.00342,0.0371,0.0903,0.1203,0.1671,0.4564,DataAnnotation,163
kaggle_asaniczka,4700,21626,0.015153,0.0778,0.2271,0.2741,0.3278,0.7072,Capital One,1682
scraped,1563,4219,0.004262,0.0308,0.0922,0.1555,0.2287,0.5488,Jobs via Dice,130
