uid,occ_group,period_group
asaniczka_27ab52b7c2928fa8,swe,2024
asaniczka_c4854edc51c371bc,swe,2024
asaniczka_eb351dae9a4d8a6d,swe,2024
asaniczka_ef5af55fb0ac5e7a,swe,2024
asaniczka_509fa4154f6ff7db,swe,2024
asaniczka_20f5364db10ad58f,swe,2024
asaniczka_508643f879f33b95,swe,2024
asaniczka_4b30d2a525042823,swe,2024
asaniczka_14562cc0e713f747,swe,2024
arshkon_3887473578,swe,2024
arshkon_3904503242,swe,2024
asaniczka_7fe8b5f5a74578aa,swe,2024
asaniczka_77172175012926fb,swe,2024
arshkon_3900974980,swe,2024
asaniczka_0c885588ed30bd24,swe,2024
asaniczka_d07c8d6d05b7daed,swe,2024
asaniczka_a82caffcd657dbed,swe,2024
asaniczka_d1245a1c7220c0d8,swe,2024
asaniczka_f6928c6b2cefafc0,swe,2024
asaniczka_52b057656a203509,swe,2024
asaniczka_517f8dd4a0a533d5,swe,2024
arshkon_3886880699,swe,2024
asaniczka_45d1e7351271c91f,swe,2024
arshkon_3902849504,swe,2024
asaniczka_4fc794901ca9f41a,swe,2024
asaniczka_0d500d0ab6611f68,swe,2024
asaniczka_745bfdb30515ddfa,swe,2024
arshkon_3904997709,swe,2024
arshkon_3895202208,swe,2024
asaniczka_92995a24aad7bd9e,swe,2024
arshkon_3902348855,swe,2024
asaniczka_66a0872f032db0b8,swe,2024
asaniczka_7907572d5f80ad4f,swe,2024
asaniczka_0282659ba2d80d21,swe,2024
asaniczka_c35c6420b29e96a9,swe,2024
asaniczka_5fd56e81d9beab9f,swe,2024
asaniczka_53de3ce6d99833ac,swe,2024
asaniczka_a539a57d7e3e2326,swe,2024
arshkon_3905826949,swe,2024
asaniczka_6140719ad19b5145,swe,2024
asaniczka_7b7a59d16b282ef0,swe,2024
asaniczka_3ab67d05ed51c8cc,swe,2024
asaniczka_c5c278e4d0f13288,swe,2024
arshkon_3904722200,swe,2024
arshkon_3904710140,swe,2024
asaniczka_f0a3bd2b53a85ba4,swe,2024
arshkon_3905300690,swe,2024
asaniczka_7372e8179d81dafd,swe,2024
asaniczka_0f62c6487623e224,swe,2024
asaniczka_fff25ca2e24cd63c,swe,2024
asaniczka_f8a45354a0dffe43,swe,2024
arshkon_3898157518,swe,2024
arshkon_3901690160,swe,2024
asaniczka_d3accb3b8d01fb1c,swe,2024
asaniczka_c6159584eea56513,swe,2024
asaniczka_d192ef6ebc6aed14,swe,2024
asaniczka_6f6979e05f232bdc,swe,2024
asaniczka_b1b51281f4414187,swe,2024
asaniczka_139f65286156cc05,swe,2024
asaniczka_9c1274cc3485a4ce,swe,2024
asaniczka_49f8093cfd0b240d,swe,2024
arshkon_3901951007,swe,2024
arshkon_3894547452,swe,2024
asaniczka_72405c632ea05f04,swe,2024
asaniczka_4a2dadbc128b219f,swe,2024
asaniczka_08855fa37eda8aab,swe,2024
asaniczka_673f07939147e6ed,swe,2024
asaniczka_bc9cb14a47c8b5cd,swe,2024
asaniczka_593adf731df94933,swe,2024
asaniczka_155d7a93f3555e21,swe,2024
asaniczka_15f05a73156dd31a,swe,2024
asaniczka_1675cd9345efc3eb,swe,2024
asaniczka_2d1efb3268e2993d,swe,2024
arshkon_3905361570,swe,2024
asaniczka_805ac9507dd1658c,swe,2024
asaniczka_3071c2d4317890f7,swe,2024
asaniczka_5c3aa4353bd523a9,swe,2024
asaniczka_8e34cc5cce3f50b1,swe,2024
asaniczka_38d62c5cab46e257,swe,2024
arshkon_3901960344,swe,2024
arshkon_3902784899,swe,2024
asaniczka_7eb45ab14f45a19c,swe,2024
asaniczka_84c0a93cb3a85c0d,swe,2024
asaniczka_a50374d4f68a8724,swe,2024
asaniczka_50a0c16b8409f590,swe,2024
asaniczka_cb6c1c95dee0c5d3,swe,2024
arshkon_3901619331,swe,2024
asaniczka_64d471737881eaac,swe,2024
asaniczka_bb33307f857c7331,swe,2024
arshkon_3895536895,swe,2024
asaniczka_77f0f3419e8e1de0,swe,2024
asaniczka_cdc96a9ef0286804,swe,2024
asaniczka_0f8857cf6650be2f,swe,2024
asaniczka_02e6945268dfeeff,swe,2024
asaniczka_a5498996399b036c,swe,2024
asaniczka_0023142cc0beea8d,swe,2024
asaniczka_e0e5a8f0a854ea91,swe,2024
arshkon_3901957280,swe,2024
asaniczka_63ae068cda1eab52,swe,2024
asaniczka_1b70f3a807265ff1,swe,2024
asaniczka_7c35cca0b11f6d88,swe,2024
asaniczka_acec347d87dd2078,swe,2024
asaniczka_14eee38772c96e6b,swe,2024
arshkon_3900962408,swe,2024
asaniczka_9b533242cad01c6f,swe,2024
asaniczka_5d91afdf46fe9669,swe,2024
arshkon_3904706905,swe,2024
arshkon_3904951009,swe,2024
arshkon_3899542362,swe,2024
asaniczka_4e3d4c7ae0193e01,swe,2024
asaniczka_cb76f3d33ad46cb5,swe,2024
asaniczka_48c3b3779d5dfe30,swe,2024
arshkon_3886458575,swe,2024
asaniczka_91cd7dcc88fe9e5e,swe,2024
arshkon_3888032364,swe,2024
arshkon_3905293730,swe,2024
asaniczka_003a037934c39136,swe,2024
asaniczka_0405e144e300e118,swe,2024
arshkon_3901359166,swe,2024
