definition_code,side,definition,denominator,occ_group,period_group,eligible_n,denominator_n,numerator_n,share,agreement_verdict
J1,junior,seniority_final = entry,eligible rows,swe,2024,22820,22820.0,379.0,0.01660823838737949,unanimous_up
J1,junior,seniority_final = entry,eligible rows,control,2024,113955,113955.0,2919.0,0.025615374489930235,mixed
J1,junior,seniority_final = entry,eligible rows,swe_adjacent,2024,11816,11816.0,244.0,0.02064996614759648,unanimous_up
J1,junior,seniority_final = entry,eligible rows,control,2026,41790,41790.0,1475.0,0.03529552524527399,mixed
J1,junior,seniority_final = entry,eligible rows,swe,2026,40881,40881.0,1275.0,0.031188082483305204,unanimous_up
J1,junior,seniority_final = entry,eligible rows,swe_adjacent,2026,11592,11592.0,510.0,0.04399585921325052,unanimous_up
J2,junior,seniority_final in entry/associate,eligible rows,swe,2024,22820,22820.0,418.0,0.01831726555652936,unanimous_up
J2,junior,seniority_final in entry/associate,eligible rows,control,2024,113955,113955.0,3010.0,0.026413935325347724,mixed
J2,junior,seniority_final in entry/associate,eligible rows,swe_adjacent,2024,11816,11816.0,271.0,0.022935003385240352,unanimous_up
J2,junior,seniority_final in entry/associate,eligible rows,control,2026,41790,41790.0,1513.0,0.03620483369227088,mixed
J2,junior,seniority_final in entry/associate,eligible rows,swe,2026,40881,40881.0,1327.0,0.03246006702380079,unanimous_up
J2,junior,seniority_final in entry/associate,eligible rows,swe_adjacent,2026,11592,11592.0,584.0,0.05037957211870255,unanimous_up
J3,junior,yoe_extracted <= 2,YOE-known rows,swe,2024,22820,15745.0,1766.0,0.11216259129882503,unanimous_up
J3,junior,yoe_extracted <= 2,YOE-known rows,control,2024,113955,54112.0,33221.0,0.6139303666469544,mixed
J3,junior,yoe_extracted <= 2,YOE-known rows,swe_adjacent,2024,11816,8405.0,1137.0,0.13527662105889351,unanimous_up
J3,junior,yoe_extracted <= 2,YOE-known rows,control,2026,41790,23011.0,10918.0,0.47446873234540005,mixed
J3,junior,yoe_extracted <= 2,YOE-known rows,swe,2026,40881,27581.0,4742.0,0.17192995177839818,unanimous_up
J3,junior,yoe_extracted <= 2,YOE-known rows,swe_adjacent,2026,11592,7806.0,1354.0,0.17345631565462466,unanimous_up
J4,junior,yoe_extracted <= 3,YOE-known rows,swe,2024,22820,15745.0,4035.0,0.2562718323277231,unanimous_up
J4,junior,yoe_extracted <= 3,YOE-known rows,control,2024,113955,54112.0,42083.0,0.7777018036664696,mixed
J4,junior,yoe_extracted <= 3,YOE-known rows,swe_adjacent,2024,11816,8405.0,2495.0,0.29684711481261156,unanimous_up
J4,junior,yoe_extracted <= 3,YOE-known rows,control,2026,41790,23011.0,14877.0,0.6465168832297596,mixed
J4,junior,yoe_extracted <= 3,YOE-known rows,swe,2026,40881,27581.0,9307.0,0.33744244226097675,unanimous_up
J4,junior,yoe_extracted <= 3,YOE-known rows,swe_adjacent,2026,11592,7806.0,2662.0,0.3410197284140405,unanimous_up
S1,senior,seniority_final in mid-senior/director,eligible rows,swe,2024,22820,22820.0,13595.0,0.595749342681858,mixed
S1,senior,seniority_final in mid-senior/director,eligible rows,control,2024,113955,113955.0,27628.0,0.2424465797902681,unanimous_up
S1,senior,seniority_final in mid-senior/director,eligible rows,swe_adjacent,2024,11816,11816.0,6911.0,0.5848849018280298,mixed
S1,senior,seniority_final in mid-senior/director,eligible rows,control,2026,41790,41790.0,13214.0,0.31620004785833933,unanimous_up
S1,senior,seniority_final in mid-senior/director,eligible rows,swe,2026,40881,40881.0,17713.0,0.43328196472689023,mixed
S1,senior,seniority_final in mid-senior/director,eligible rows,swe_adjacent,2026,11592,11592.0,5611.0,0.4840407177363699,mixed
S2,senior,seniority_final = director,eligible rows,swe,2024,22820,22820.0,105.0,0.004601226993865031,mixed
S2,senior,seniority_final = director,eligible rows,control,2024,113955,113955.0,812.0,0.007125619762186828,unanimous_up
S2,senior,seniority_final = director,eligible rows,swe_adjacent,2024,11816,11816.0,72.0,0.006093432633716994,mixed
S2,senior,seniority_final = director,eligible rows,control,2026,41790,41790.0,488.0,0.011677434793012682,unanimous_up
S2,senior,seniority_final = director,eligible rows,swe,2026,40881,40881.0,295.0,0.007216066143196106,mixed
