comparison_id,n_a,n_b,flag_n_lt_100
primary_full,4558,5512,False
section_filtered,72,3359,True
primary_bigram,4558,5512,False
raw_same_rows,4558,5512,False
entry_2024_vs_2026,170,268,False
mid_senior_2024_vs_2026,1999,2654,False
entry_2026_vs_mid_senior_2024,268,1999,False
within_2024_mid_senior,2037,7300,False
