archetype,archetype_name,n_2024,n_2026,rate_2024,rate_2026,w_2024,w_2026,delta_rate,delta_w,within_contrib,between_contrib,interaction_contrib
0,LLM / GenAI / ML engineering,637.0,1626.0,0.14599686028257458,0.18327183271832717,0.04251485016351866,0.1925171678901255,0.03727497243575259,0.15000231772660683,0.0015847398679553093,0.02189986742319378,0.005591332258558271
1,Defense & cleared regulated work,4266.0,1002.0,0.11978434130332864,0.2245508982035928,0.2847226857104719,0.11863604072933934,0.10476655690026417,-0.16608664498113254,0.029829415453282184,-0.019894579368344757,-0.017400325941789797
2,DevOps / SRE / platform,1746.0,1356.0,0.09965635738831616,0.12315634218289086,0.1165320696789695,0.1605493724840161,0.0234999847945747,0.04401730280504661,0.0027385018655361024,0.004386604059609456,0.0010344059466167856
3,JS frontend (React/TypeScript),1270.0,855.0,0.10236220472440945,0.15555555555555556,0.08476273109524127,0.10123135211934643,0.05319335083114611,0.016468621024105165,0.004508813692555266,0.0016857643567981665,0.0008760211358404148
4,Java enterprise (Spring/microservices),1553.0,794.0,0.11332904056664521,0.14357682619647355,0.10365080424481078,0.09400899834241061,0.03024778562982834,-0.009641805902400172,0.0031352073071563382,-0.0010926966122488282,-0.000291643278020214
5,Data engineering (Spark/ETL),918.0,635.0,0.11002178649237472,0.13385826771653545,0.06126943869719015,0.07518351882547952,0.023836481224160724,0.013914080128289374,0.0014604478251204396,0.0015308519531124474,0.00033166270972943753
6,Embedded / firmware,1019.0,519.0,0.11776251226692837,0.2023121387283237,0.06801041180004004,0.061449206725076956,0.08454962646139534,-0.006561205074963085,0.005750254913179059,-0.0007726639931261729,-0.0005547474382247402
7,.NET / ASP.NET full-stack,791.0,216.0,0.09987357774968394,0.1388888888888889,0.05279316558766602,0.02557423632488752,0.03901531113920495,-0.027218929262778503,0.0020597417814263576,-0.0027184518479892563,-0.0010619549940633138
8,Agile/Scrum generalist,810.0,312.0,0.14814814814814814,0.17307692307692307,0.05406126943869719,0.03694056358039308,0.024928774928774933,-0.01712070585830411,0.001347681218201141,-0.002536400867896905,-0.0004267982229634216
9,iOS / Swift mobile,131.0,132.0,0.11450381679389313,0.17424242424242425,0.008743242341320163,0.015628699976320153,0.05973860744853113,0.006885457634999989,0.0005223091220555014,0.0007884111795801515,0.0004113276507607559
10,AWS cloud SDE (Amazon template),458.0,247.0,0.08296943231441048,0.11336032388663968,0.030567977040646066,0.029244612834477858,0.030390891572229198,-0.001323364206168208,0.0009289880758246662,-0.00010979877693098669,-4.0218218100227176e-05
11,QA / test automation,190.0,129.0,0.12105263157894737,0.18604651162790697,0.012681038510311687,0.015273502249585603,0.0649938800489596,0.002592463739273916,0.0008241898958354351,0.00031382455791210566,0.00016849427730164618
12,Azure data platform,112.0,67.0,0.11607142857142858,0.11940298507462686,0.007475138490288994,0.007932749230404925,0.003331556503198288,0.000457610740115931,2.4903846249630133e-05,5.311553233488485e-05,1.5245560371666117e-06
13,Amazon program boilerplate,168.0,186.0,0.20833333333333334,0.5161290322580645,0.01121270773543349,0.022022259057542033,0.30779569892473113,0.010809551322108542,0.0034512232142664906,0.002251989858772613,0.0033271334042511503
14,US gov SCI-cleared SWE,207.0,64.0,0.05314009661835749,0.1875,0.013815657745444838,0.007577551503670376,0.1343599033816425,-0.006238106241774462,0.0018562704398318094,-0.0003314935684034738,-0.0008381513519292377
15,GPU / CUDA / systems perf,58.0,59.0,0.13793103448275862,0.2033898305084746,0.003871053861042515,0.006985555292446128,0.06545879602571597,0.0031145014314036133,0.0002533945250945422,0.00042958640433153286,0.00020387151392004956
16,Python web backend (Django/Flask),126.0,68.0,0.07936507936507936,0.10294117647058823,0.008409530801575119,0.008051148472649775,0.02357609710550887,-0.0003583823289253444,0.00019826391478970285,-2.8443041978201936e-05,-8.44925658764234e-06
17,AWS cloud generic template,391.0,85.0,0.028132992327365727,0.10588235294117647,0.02609624240806247,0.010063935590812218,0.07774936061381074,-0.016032306817250253,0.00202896616164987,-0.0004510367646796746,-0.0012465016042056464
18,Android / Kotlin mobile,60.0,51.0,0.1,0.1568627450980392,0.004004538476940532,0.006038361354487331,0.05686274509803921,0.0020338228775467985,0.00022770905064955964,0.00020338228775467986,0.00011564875186050421
19,Generic JS/Python boilerplate,72.0,43.0,0.125,0.2558139534883721,0.004805446172328639,0.0050911674165285345,0.1308139534883721,0.0002857212441998956,0.0006286194120778743,3.571515552498695e-05,3.7376325549404955e-05
