archetype,archetype_name,n_2024,n_2026,share_2024,share_2026,delta_share_pp
-2,No text / raw-only (unlabeled),1177.0,28425.0,0.051577563540753726,0.6953107800689807,64.3733216528227
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.046406660823838736,0.06259631613708079,1.6189655313242055
1,Defense & cleared regulated work,5676.0,1426.0,0.24872918492550394,0.034881729898975075,-21.384745502652887
2,DevOps / SRE / platform,2576.0,1943.0,0.11288343558282209,0.04752819158044079,-6.535524400238129
3,JS frontend (React/TypeScript),2031.0,1340.0,0.0890008764241893,0.03277806315892468,-5.622281326526462
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.09877300613496932,0.028032582373229618,-7.074042376173971
5,Data engineering (Spark/ETL),1347.0,947.0,0.05902716914986854,0.02316479538171767,-3.5862373768150864
6,Embedded / firmware,1476.0,723.0,0.06468010517090271,0.017685477361121305,-4.69946278097814
7,.NET / ASP.NET full-stack,1250.0,323.0,0.054776511831726556,0.007900980895770652,-4.68755309359559
8,Agile/Scrum generalist,1081.0,434.0,0.047370727432077125,0.010616178664905458,-3.675454876717167
9,iOS / Swift mobile,229.0,200.0,0.010035056967572306,0.004892248232675326,-0.514280873489698
10,AWS cloud SDE (Amazon template),576.0,307.0,0.025241016652059595,0.007509601037156625,-1.773141561490297
11,QA / test automation,293.0,177.0,0.012839614373356704,0.0043296396859176635,-0.8509974687439039
12,Azure data platform,160.0,106.0,0.007011393514460999,0.0025928915633179226,-0.4418501951143077
13,Amazon program boilerplate,244.0,218.0,0.010692375109553023,0.005332550573616105,-0.5359824535936918
14,US gov SCI-cleared SWE,261.0,156.0,0.011437335670464505,0.0038159536214867544,-0.7621382048977751
15,GPU / CUDA / systems perf,98.0,103.0,0.004294478527607362,0.002519507839827793,-0.17749706877795693
16,Python web backend (Django/Flask),207.0,114.0,0.009070990359333918,0.0027885814926249357,-0.6282408866708982
17,AWS cloud generic template,632.0,94.0,0.027695004382120948,0.002299356669357403,-2.5395647712763547
18,Android / Kotlin mobile,92.0,82.0,0.004031551270815075,0.0020058217753968835,-0.20257294954181912
19,Generic JS/Python boilerplate,101.0,58.0,0.004425942156003506,0.0014187519874758446,-0.30071901685276614
